,timestamp,voc2,no2,eth,co,temp,pressure,humidity,mq3,mq7,mq9,mq135
3600,6448351,484.0,623.0,266.0,133.0,32.73,88.41,43.27,365.0,328.0,366.0,523.0
3601,6448451,484.0,623.0,266.0,132.0,32.73,88.41,43.27,358.0,318.0,358.0,519.0
3602,6448551,485.0,623.0,266.0,132.0,32.73,88.41,43.27,362.0,323.0,362.0,508.0
3603,6448651,484.0,623.0,266.0,133.0,32.73,88.41,43.27,358.0,321.0,358.0,518.0
3604,6448751,484.0,623.0,266.0,132.0,32.73,88.41,43.27,355.0,316.0,356.0,515.0
3605,6448851,484.0,622.0,266.0,132.0,32.73,88.41,43.27,356.0,317.0,357.0,516.0
3606,6448951,484.0,622.0,266.0,132.0,32.73,88.41,43.27,363.0,325.0,362.0,519.0
3607,6449051,485.0,622.0,266.0,132.0,32.73,88.41,43.27,357.0,318.0,357.0,517.0
3608,6449151,484.0,622.0,266.0,132.0,32.73,88.41,43.27,355.0,317.0,354.0,517.0
3609,6449251,485.0,622.0,266.0,132.0,32.73,88.41,43.27,365.0,322.0,363.0,523.0
3610,6449351,484.0,622.0,267.0,131.0,32.73,88.41,43.27,357.0,318.0,357.0,517.0
3611,6449451,484.0,622.0,266.0,131.0,32.73,88.41,43.27,356.0,317.0,357.0,520.0
3612,6449551,485.0,622.0,266.0,132.0,32.73,88.41,43.27,361.0,324.0,358.0,518.0
3613,6449651,485.0,622.0,266.0,131.0,32.73,88.41,43.27,356.0,317.0,357.0,518.0
3614,6449751,485.0,622.0,265.0,131.0,32.73,88.41,43.27,357.0,318.0,353.0,515.0
3615,6449851,484.0,621.0,265.0,131.0,32.73,88.41,43.27,356.0,318.0,357.0,518.0
3616,6449951,484.0,621.0,266.0,131.0,32.73,88.41,43.27,355.0,316.0,354.0,516.0
3617,6450051,485.0,621.0,265.0,131.0,32.73,88.41,43.27,360.0,313.0,357.0,520.0
3618,6450151,484.0,621.0,266.0,131.0,32.73,88.41,43.27,354.0,313.0,354.0,516.0
3619,6450251,484.0,621.0,265.0,131.0,32.73,88.41,43.27,356.0,317.0,354.0,517.0
3620,6450351,484.0,620.0,266.0,131.0,32.73,88.41,43.27,356.0,318.0,356.0,516.0
3621,6450451,484.0,620.0,266.0,131.0,32.73,88.41,43.27,355.0,315.0,355.0,517.0
3622,6450551,485.0,620.0,265.0,131.0,32.73,88.41,43.27,359.0,324.0,360.0,516.0
3623,6450651,484.0,620.0,265.0,130.0,32.73,88.41,43.27,354.0,315.0,355.0,513.0
3624,6450751,484.0,619.0,265.0,131.0,32.73,88.41,43.27,361.0,321.0,359.0,502.0
3625,6450851,484.0,619.0,265.0,131.0,32.73,88.41,43.27,355.0,316.0,352.0,514.0
3626,6450951,485.0,619.0,265.0,130.0,32.73,88.41,43.27,355.0,315.0,356.0,517.0
3627,6451051,483.0,618.0,264.0,130.0,32.73,88.41,43.27,357.0,318.0,356.0,516.0
3628,6451151,484.0,618.0,265.0,130.0,32.73,88.41,43.27,354.0,315.0,354.0,512.0
3629,6451251,484.0,618.0,264.0,130.0,32.73,88.41,43.27,357.0,320.0,358.0,517.0
3630,6451351,483.0,618.0,265.0,130.0,32.73,88.41,43.27,354.0,315.0,353.0,515.0
3631,6451451,484.0,618.0,264.0,130.0,32.73,88.41,43.27,359.0,310.0,355.0,519.0
3632,6451551,484.0,618.0,264.0,130.0,32.73,88.41,43.27,351.0,315.0,353.0,513.0
3633,6451651,484.0,618.0,264.0,129.0,32.73,88.41,43.27,356.0,317.0,357.0,517.0
3634,6451751,483.0,617.0,264.0,130.0,32.73,88.41,43.27,353.0,315.0,353.0,514.0
3635,6451851,484.0,616.0,264.0,129.0,32.73,88.41,43.27,354.0,314.0,353.0,515.0
3636,6451951,483.0,616.0,264.0,129.0,32.73,88.41,43.27,353.0,316.0,354.0,515.0
3637,6452051,484.0,616.0,264.0,129.0,32.73,88.41,43.27,353.0,313.0,350.0,517.0
3638,6452151,483.0,616.0,264.0,128.0,32.73,88.41,43.27,355.0,318.0,356.0,514.0
3639,6452251,483.0,615.0,264.0,128.0,32.73,88.41,43.27,353.0,313.0,353.0,512.0
3640,6452351,483.0,615.0,263.0,128.0,32.73,88.41,43.27,357.0,322.0,358.0,516.0
3641,6452451,483.0,615.0,264.0,128.0,32.73,88.41,43.27,352.0,312.0,353.0,514.0
3642,6452551,483.0,614.0,263.0,128.0,32.73,88.41,43.27,358.0,313.0,352.0,518.0
3643,6452651,483.0,614.0,263.0,128.0,32.73,88.41,43.27,352.0,314.0,352.0,514.0
3644,6452751,483.0,614.0,263.0,127.0,32.73,88.41,43.27,360.0,321.0,359.0,518.0
3645,6452851,482.0,613.0,263.0,127.0,32.73,88.41,43.27,351.0,313.0,351.0,514.0
3646,6452951,482.0,613.0,263.0,127.0,32.73,88.41,43.27,358.0,321.0,358.0,517.0
3647,6453051,483.0,612.0,263.0,127.0,32.73,88.41,43.27,353.0,314.0,352.0,514.0
3648,6453151,483.0,612.0,263.0,126.0,32.73,88.41,43.27,355.0,318.0,355.0,513.0
3649,6453251,483.0,612.0,263.0,126.0,32.73,88.41,43.27,351.0,312.0,352.0,514.0
3650,6453351,483.0,612.0,262.0,125.0,32.73,88.41,43.27,355.0,316.0,354.0,514.0
3651,6453451,482.0,612.0,262.0,126.0,32.73,88.41,43.27,352.0,312.0,353.0,515.0
3652,6453551,482.0,611.0,262.0,125.0,32.73,88.41,43.27,353.0,314.0,352.0,514.0
3653,6453651,482.0,612.0,263.0,125.0,32.73,88.41,43.27,352.0,309.0,352.0,513.0
3654,6453751,482.0,611.0,262.0,125.0,32.73,88.41,43.27,351.0,311.0,352.0,513.0
