,timestamp,voc2,no2,eth,co,temp,pressure,humidity,mq3,mq7,mq9,mq135
2400,9155935,476.0,615.0,276.0,116.0,33.26,88.34,37.68,339.0,292.0,303.0,434.0
2401,9156035,476.0,615.0,277.0,115.0,33.26,88.34,37.68,340.0,293.0,302.0,435.0
2402,9156135,476.0,615.0,276.0,115.0,33.26,88.34,37.68,344.0,295.0,308.0,439.0
2403,9156235,476.0,615.0,276.0,116.0,33.26,88.34,37.68,341.0,296.0,307.0,436.0
2404,9156335,476.0,616.0,276.0,116.0,33.26,88.34,37.68,341.0,294.0,304.0,435.0
2405,9156435,476.0,615.0,276.0,115.0,33.26,88.34,37.68,340.0,293.0,303.0,435.0
2406,9156535,476.0,616.0,276.0,115.0,33.26,88.34,37.68,339.0,292.0,304.0,435.0
2407,9156635,476.0,616.0,276.0,116.0,33.26,88.34,37.68,341.0,293.0,304.0,436.0
2408,9156735,477.0,616.0,276.0,115.0,33.26,88.34,37.68,342.0,294.0,308.0,438.0
2409,9156835,476.0,616.0,276.0,115.0,33.26,88.34,37.68,340.0,292.0,305.0,435.0
2410,9156935,475.0,616.0,276.0,115.0,33.26,88.34,37.68,339.0,291.0,301.0,435.0
2411,9157035,476.0,616.0,276.0,116.0,33.26,88.34,37.68,340.0,293.0,303.0,435.0
2412,9157135,476.0,616.0,276.0,115.0,33.26,88.34,37.68,341.0,291.0,304.0,436.0
2413,9157235,476.0,616.0,276.0,115.0,33.26,88.34,37.68,345.0,297.0,307.0,425.0
2414,9157335,476.0,616.0,276.0,116.0,33.26,88.34,37.68,342.0,295.0,306.0,436.0
2415,9157435,476.0,617.0,276.0,114.0,33.26,88.34,37.68,341.0,292.0,304.0,435.0
2416,9157535,476.0,617.0,276.0,115.0,33.26,88.34,37.68,339.0,292.0,304.0,433.0
2417,9157635,476.0,616.0,276.0,116.0,33.26,88.34,37.68,340.0,290.0,303.0,435.0
2418,9157735,476.0,617.0,275.0,116.0,33.26,88.34,37.68,341.0,294.0,304.0,436.0
2419,9157835,476.0,616.0,276.0,115.0,33.26,88.34,37.68,346.0,296.0,310.0,440.0
2420,9157935,475.0,616.0,275.0,116.0,33.26,88.34,37.68,341.0,295.0,305.0,436.0
2421,9158035,476.0,615.0,275.0,115.0,33.26,88.34,37.68,340.0,292.0,304.0,436.0
2422,9158135,475.0,615.0,275.0,115.0,33.26,88.34,37.68,339.0,292.0,303.0,436.0
2423,9158235,476.0,615.0,275.0,115.0,33.26,88.34,37.68,342.0,290.0,303.0,435.0
2424,9158335,475.0,614.0,275.0,115.0,33.26,88.34,37.68,340.0,294.0,305.0,436.0
2425,9158435,476.0,614.0,275.0,115.0,33.26,88.34,37.68,345.0,290.0,306.0,440.0
2426,9158535,475.0,614.0,275.0,115.0,33.26,88.34,37.68,339.0,294.0,306.0,436.0
2427,9158635,475.0,615.0,275.0,115.0,33.26,88.34,37.68,340.0,293.0,304.0,435.0
2428,9158735,476.0,615.0,275.0,115.0,33.26,88.34,37.68,341.0,293.0,303.0,435.0
2429,9158835,475.0,614.0,275.0,115.0,33.26,88.34,37.68,339.0,290.0,304.0,436.0
2430,9158935,476.0,615.0,275.0,115.0,33.26,88.34,37.68,341.0,293.0,302.0,436.0
2431,9159035,475.0,615.0,275.0,115.0,33.26,88.34,37.68,342.0,284.0,303.0,440.0
2432,9159135,475.0,615.0,275.0,115.0,33.26,88.34,37.68,342.0,295.0,306.0,436.0
2433,9159235,475.0,615.0,275.0,115.0,33.26,88.34,37.68,341.0,293.0,303.0,436.0
2434,9159335,475.0,616.0,274.0,115.0,33.26,88.34,37.68,340.0,293.0,303.0,435.0
2435,9159435,475.0,615.0,274.0,115.0,33.26,88.34,37.68,339.0,291.0,301.0,434.0
2436,9159535,475.0,616.0,275.0,115.0,33.26,88.34,37.68,340.0,292.0,306.0,436.0
2437,9159635,476.0,616.0,275.0,115.0,33.26,88.34,37.68,344.0,297.0,308.0,425.0
2438,9159735,475.0,616.0,275.0,115.0,33.26,88.34,37.68,341.0,296.0,307.0,437.0
2439,9159835,475.0,616.0,275.0,116.0,33.26,88.34,37.68,340.0,293.0,302.0,436.0
2440,9159935,475.0,616.0,275.0,115.0,33.26,88.34,37.68,339.0,291.0,302.0,434.0
2441,9160035,475.0,616.0,275.0,116.0,33.26,88.34,37.68,339.0,292.0,302.0,436.0
2442,9160135,475.0,616.0,275.0,116.0,33.26,88.34,37.68,339.0,293.0,304.0,437.0
2443,9160235,475.0,616.0,274.0,115.0,33.26,88.34,37.68,342.0,294.0,304.0,438.0
2444,9160335,475.0,615.0,274.0,115.0,33.26,88.34,37.68,345.0,299.0,309.0,436.0
2445,9160435,475.0,615.0,274.0,115.0,33.26,88.34,37.68,340.0,294.0,304.0,436.0
2446,9160535,475.0,615.0,274.0,115.0,33.26,88.34,37.68,339.0,294.0,303.0,435.0
2447,9160635,475.0,615.0,274.0,116.0,33.26,88.34,37.68,339.0,292.0,304.0,434.0
2448,9160735,474.0,615.0,274.0,115.0,33.26,88.34,37.68,339.0,292.0,303.0,435.0
2449,9160835,474.0,615.0,274.0,115.0,33.26,88.34,37.68,339.0,292.0,304.0,435.0
2450,9160935,475.0,615.0,274.0,115.0,33.26,88.34,37.68,342.0,294.0,306.0,437.0
2451,9161035,475.0,615.0,274.0,115.0,33.26,88.34,37.68,344.0,297.0,307.0,438.0
2452,9161135,475.0,615.0,274.0,115.0,33.26,88.34,37.68,339.0,291.0,305.0,437.0
2453,9161235,475.0,615.0,274.0,116.0,33.26,88.34,37.68,339.0,293.0,304.0,436.0
2454,9161335,475.0,615.0,274.0,114.0,33.26,88.34,37.68,338.0,293.0,304.0,435.0
2455,9161435,475.0,615.0,274.0,115.0,33.26,88.34,37.68,339.0,292.0,301.0,435.0
2456,9161535,475.0,614.0,273.0,115.0,33.26,88.34,37.68,341.0,293.0,303.0,437.0
2457,9161635,475.0,615.0,274.0,115.0,33.26,88.34,37.68,345.0,292.0,309.0,441.0
2458,9161735,475.0,615.0,274.0,115.0,33.26,88.34,37.68,341.0,294.0,307.0,435.0
2459,9161835,475.0,614.0,274.0,116.0,33.26,88.34,37.68,339.0,293.0,302.0,435.0
2460,9161935,474.0,614.0,273.0,115.0,33.26,88.34,37.68,339.0,292.0,305.0,436.0
2461,9162035,475.0,615.0,273.0,115.0,33.26,88.34,37.68,338.0,293.0,303.0,435.0
2462,9162135,475.0,615.0,273.0,115.0,33.26,88.34,37.68,340.0,292.0,302.0,435.0
2463,9162235,475.0,615.0,273.0,114.0,33.26,88.34,37.68,342.0,294.0,306.0,438.0
2464,9162335,475.0,615.0,273.0,115.0,33.26,88.34,37.68,343.0,298.0,308.0,438.0
