,timestamp,voc2,no2,eth,co,temp,pressure,humidity,mq3,mq7,mq9,mq135
4800,721744,448.0,588.0,237.0,115.0,37.27,88.12,23.5,401.0,311.0,297.0,428.0
4801,721844,448.0,588.0,237.0,115.0,37.27,88.12,23.5,401.0,310.0,296.0,429.0
4802,721944,448.0,587.0,237.0,115.0,37.27,88.12,23.5,404.0,309.0,297.0,430.0
4803,722044,447.0,588.0,237.0,115.0,37.27,88.12,23.5,405.0,310.0,298.0,431.0
4804,722144,448.0,588.0,237.0,115.0,37.27,88.12,23.5,405.0,315.0,301.0,432.0
4805,722244,448.0,589.0,237.0,115.0,37.27,88.12,23.5,407.0,316.0,303.0,434.0
4806,722344,448.0,589.0,238.0,115.0,37.27,88.12,23.5,407.0,314.0,301.0,430.0
4807,722444,448.0,589.0,237.0,114.0,37.27,88.12,23.5,404.0,312.0,298.0,430.0
4808,722544,448.0,589.0,237.0,115.0,37.27,88.12,23.5,403.0,313.0,299.0,429.0
4809,722644,448.0,588.0,237.0,115.0,37.27,88.12,23.5,404.0,311.0,296.0,430.0
4810,722744,448.0,588.0,237.0,116.0,37.27,88.12,23.5,403.0,310.0,296.0,429.0
4811,722844,449.0,589.0,237.0,115.0,37.27,88.12,23.5,405.0,312.0,297.0,428.0
4812,722944,448.0,589.0,236.0,115.0,37.27,88.12,23.5,404.0,309.0,298.0,430.0
4813,723044,448.0,589.0,237.0,115.0,37.27,88.12,23.5,404.0,312.0,298.0,428.0
4814,723144,448.0,589.0,237.0,115.0,37.27,88.12,23.5,401.0,311.0,297.0,428.0
4815,723244,448.0,589.0,237.0,115.0,37.27,88.12,23.5,404.0,310.0,297.0,429.0
4816,723344,448.0,589.0,237.0,115.0,37.27,88.12,23.5,400.0,311.0,297.0,428.0
4817,723444,449.0,589.0,237.0,115.0,37.27,88.12,23.5,403.0,311.0,296.0,428.0
4818,723544,447.0,590.0,237.0,114.0,37.27,88.12,23.5,404.0,310.0,298.0,430.0
4819,723644,447.0,591.0,237.0,115.0,37.27,88.12,23.5,403.0,310.0,298.0,430.0
4820,723744,448.0,591.0,236.0,115.0,37.27,88.12,23.5,404.0,307.0,298.0,430.0
4821,723844,448.0,591.0,237.0,115.0,37.27,88.12,23.5,405.0,313.0,299.0,432.0
4822,723944,448.0,591.0,237.0,114.0,37.27,88.12,23.5,405.0,300.0,293.0,433.0
4823,724044,448.0,592.0,237.0,115.0,37.27,88.12,23.5,408.0,314.0,300.0,432.0
4824,724144,449.0,592.0,237.0,115.0,37.27,88.12,23.5,404.0,312.0,300.0,430.0
4825,724244,448.0,592.0,237.0,115.0,37.27,88.12,23.5,404.0,312.0,299.0,429.0
