,timestamp,voc2,no2,eth,co,temp,pressure,humidity,mq3,mq7,mq9,mq135
0,5475406,454.0,604.0,247.0,106.0,33.45,87.92,31.94,544.0,441.0,365.0,703.0
1,5475506,454.0,604.0,247.0,107.0,33.45,87.92,31.94,544.0,440.0,362.0,704.0
2,5475606,454.0,604.0,247.0,107.0,33.45,87.92,31.94,547.0,443.0,364.0,703.0
3,5475706,454.0,604.0,247.0,107.0,33.45,87.92,31.94,544.0,440.0,364.0,701.0
4,5475806,454.0,604.0,247.0,107.0,33.45,87.92,31.94,544.0,439.0,363.0,702.0
5,5475906,454.0,605.0,247.0,107.0,33.45,87.92,31.94,545.0,442.0,366.0,703.0
6,5476006,455.0,605.0,247.0,107.0,33.45,87.92,31.94,544.0,439.0,362.0,703.0
7,5476106,455.0,605.0,247.0,107.0,33.45,87.92,31.94,545.0,440.0,363.0,702.0
8,5476206,455.0,605.0,247.0,107.0,33.45,87.92,31.94,542.0,440.0,363.0,705.0
9,5476306,454.0,605.0,248.0,107.0,33.45,87.92,31.94,545.0,439.0,361.0,703.0
10,5476406,455.0,605.0,248.0,106.0,33.45,87.92,31.94,545.0,442.0,364.0,703.0
11,5476506,455.0,605.0,248.0,107.0,33.45,87.92,31.94,544.0,439.0,363.0,705.0
12,5476606,455.0,606.0,248.0,107.0,33.45,87.92,31.94,546.0,443.0,362.0,705.0
13,5476706,455.0,606.0,248.0,107.0,33.45,87.92,31.94,545.0,441.0,360.0,704.0
14,5476806,455.0,606.0,248.0,107.0,33.45,87.92,31.94,545.0,440.0,362.0,706.0
15,5476906,455.0,606.0,248.0,107.0,33.45,87.92,31.94,545.0,440.0,362.0,705.0
16,5477006,455.0,606.0,248.0,106.0,33.45,87.92,31.94,544.0,439.0,360.0,703.0
17,5477106,454.0,605.0,248.0,106.0,33.45,87.92,31.94,546.0,442.0,363.0,707.0
18,5477206,454.0,605.0,248.0,106.0,33.45,87.92,31.94,544.0,439.0,362.0,707.0
19,5477306,455.0,606.0,247.0,107.0,33.45,87.92,31.94,535.0,445.0,366.0,707.0
20,5477406,454.0,606.0,248.0,107.0,33.45,87.92,31.94,544.0,439.0,363.0,707.0
21,5477506,454.0,606.0,248.0,106.0,33.45,87.92,31.94,544.0,440.0,360.0,707.0
22,5477606,455.0,605.0,248.0,106.0,33.45,87.92,31.94,543.0,442.0,364.0,705.0
23,5477706,455.0,606.0,248.0,107.0,33.45,87.92,31.94,544.0,438.0,363.0,705.0
24,5477806,455.0,606.0,248.0,106.0,33.45,87.92,31.94,546.0,443.0,366.0,710.0
25,5477906,455.0,605.0,248.0,106.0,33.45,87.92,31.94,544.0,440.0,360.0,709.0
26,5478006,454.0,606.0,248.0,106.0,33.45,87.92,31.94,543.0,442.0,365.0,710.0
27,5478106,455.0,606.0,248.0,106.0,33.45,87.92,31.94,546.0,439.0,362.0,707.0
28,5478206,454.0,606.0,248.0,106.0,33.45,87.92,31.94,544.0,439.0,361.0,701.0
29,5478306,455.0,606.0,248.0,106.0,33.45,87.92,31.94,545.0,441.0,364.0,704.0
30,5478406,454.0,606.0,248.0,105.0,33.45,87.92,31.94,543.0,440.0,363.0,704.0
31,5478506,455.0,606.0,248.0,106.0,33.45,87.92,31.94,546.0,444.0,365.0,710.0
32,5478606,455.0,605.0,248.0,106.0,33.45,87.92,31.94,541.0,438.0,362.0,695.0
33,5478706,455.0,606.0,248.0,106.0,33.45,87.92,31.94,546.0,441.0,366.0,696.0
34,5478806,454.0,605.0,248.0,106.0,33.45,87.92,31.94,544.0,440.0,363.0,699.0
35,5478906,454.0,606.0,248.0,105.0,33.45,87.92,31.94,543.0,439.0,362.0,701.0
36,5479006,454.0,606.0,248.0,106.0,33.45,87.92,31.94,545.0,442.0,365.0,701.0
37,5479106,454.0,606.0,248.0,105.0,33.45,87.92,31.94,544.0,439.0,360.0,699.0
38,5479206,454.0,606.0,248.0,106.0,33.45,87.92,31.94,548.0,442.0,366.0,704.0
39,5479306,454.0,605.0,248.0,105.0,33.45,87.92,31.94,544.0,439.0,359.0,701.0
40,5479406,454.0,606.0,248.0,105.0,33.45,87.92,31.94,544.0,437.0,363.0,704.0
