,timestamp,voc2,no2,eth,co,temp,pressure,humidity,mq3,mq7,mq9,mq135
6000,8605124,441.0,591.0,239.0,107.0,33.7,87.83,31.91,523.0,327.0,360.0,500.0
6001,8605224,441.0,590.0,239.0,106.0,33.7,87.83,31.91,525.0,328.0,358.0,502.0
6002,8605324,441.0,590.0,239.0,106.0,33.7,87.83,31.91,519.0,328.0,361.0,500.0
6003,8605424,441.0,590.0,238.0,106.0,33.7,87.83,31.91,520.0,328.0,360.0,502.0
6004,8605524,440.0,589.0,239.0,106.0,33.7,87.83,31.91,524.0,328.0,361.0,502.0
6005,8605624,441.0,590.0,239.0,106.0,33.7,87.83,31.91,526.0,328.0,358.0,501.0
6006,8605724,441.0,589.0,239.0,106.0,33.7,87.83,31.91,525.0,328.0,361.0,502.0
6007,8605824,441.0,589.0,239.0,107.0,33.7,87.83,31.91,526.0,329.0,361.0,502.0
6008,8605924,440.0,590.0,239.0,106.0,33.7,87.83,31.91,526.0,331.0,362.0,502.0
6009,8606024,441.0,590.0,238.0,107.0,33.7,87.83,31.91,524.0,332.0,362.0,503.0
6010,8606124,441.0,589.0,238.0,106.0,33.7,87.83,31.91,527.0,330.0,364.0,503.0
6011,8606224,441.0,589.0,239.0,106.0,33.7,87.83,31.91,528.0,332.0,363.0,505.0
6012,8606324,440.0,589.0,239.0,106.0,33.7,87.83,31.91,528.0,332.0,365.0,502.0
6013,8606424,440.0,589.0,238.0,106.0,33.7,87.83,31.91,519.0,330.0,363.0,506.0
6014,8606524,441.0,589.0,238.0,107.0,33.7,87.83,31.91,523.0,332.0,365.0,506.0
6015,8606624,441.0,589.0,239.0,106.0,33.7,87.83,31.91,521.0,333.0,365.0,504.0
6016,8606724,440.0,589.0,239.0,107.0,33.7,87.83,31.91,527.0,332.0,365.0,504.0
6017,8606824,440.0,588.0,238.0,107.0,33.7,87.83,31.91,528.0,331.0,364.0,504.0
6018,8606924,441.0,588.0,238.0,107.0,33.7,87.83,31.91,527.0,328.0,365.0,503.0
6019,8607024,441.0,588.0,238.0,107.0,33.7,87.83,31.91,527.0,330.0,362.0,501.0
6020,8607124,441.0,588.0,239.0,106.0,33.7,87.83,31.91,527.0,330.0,362.0,502.0
6021,8607224,441.0,588.0,238.0,106.0,33.7,87.83,31.91,526.0,329.0,361.0,502.0
6022,8607324,440.0,587.0,238.0,106.0,33.7,87.83,31.91,526.0,328.0,362.0,503.0
6023,8607424,440.0,587.0,238.0,107.0,33.7,87.83,31.91,525.0,330.0,360.0,501.0
6024,8607524,440.0,587.0,238.0,106.0,33.7,87.83,31.91,526.0,330.0,361.0,502.0
6025,8607624,441.0,588.0,238.0,106.0,33.7,87.83,31.91,523.0,329.0,360.0,501.0
6026,8607724,441.0,587.0,238.0,107.0,33.7,87.83,31.91,527.0,328.0,357.0,500.0
6027,8607824,440.0,587.0,238.0,107.0,33.7,87.83,31.91,525.0,328.0,361.0,502.0
6028,8607924,441.0,587.0,237.0,107.0,33.7,87.83,31.91,526.0,328.0,361.0,503.0
6029,8608024,441.0,588.0,237.0,106.0,33.7,87.83,31.91,521.0,329.0,361.0,502.0
6030,8608124,440.0,587.0,238.0,106.0,33.7,87.83,31.91,520.0,328.0,360.0,502.0
6031,8608224,440.0,587.0,237.0,106.0,33.7,87.83,31.91,526.0,327.0,360.0,502.0
6032,8608324,440.0,588.0,238.0,107.0,33.7,87.83,31.91,525.0,328.0,360.0,499.0
6033,8608424,441.0,588.0,237.0,106.0,33.7,87.83,31.91,525.0,327.0,359.0,501.0
6034,8608524,440.0,588.0,238.0,106.0,33.7,87.83,31.91,524.0,326.0,360.0,501.0
6035,8608624,440.0,587.0,238.0,106.0,33.7,87.83,31.91,525.0,326.0,358.0,501.0
6036,8608724,440.0,588.0,238.0,106.0,33.7,87.83,31.91,525.0,326.0,360.0,502.0
