,timestamp,voc2,no2,eth,co,temp,pressure,humidity,mq3,mq7,mq9,mq135
0,1445496,489.0,618.0,275.0,99.0,33.18,87.99,30.73,539.0,327.0,359.0,491.0
1,1445596,489.0,618.0,275.0,99.0,33.18,87.99,30.73,539.0,326.0,359.0,492.0
2,1445696,489.0,618.0,276.0,99.0,33.18,87.99,30.73,539.0,327.0,360.0,492.0
3,1445796,489.0,618.0,275.0,98.0,33.18,87.99,30.73,539.0,327.0,360.0,492.0
4,1445896,489.0,618.0,275.0,99.0,33.18,87.99,30.73,539.0,326.0,360.0,492.0
5,1445996,489.0,618.0,275.0,99.0,33.18,87.99,30.73,538.0,326.0,360.0,492.0
6,1446096,490.0,618.0,275.0,99.0,33.18,87.99,30.73,538.0,327.0,360.0,492.0
7,1446196,489.0,617.0,275.0,98.0,33.18,87.99,30.73,539.0,326.0,360.0,491.0
8,1446296,489.0,617.0,275.0,99.0,33.18,87.99,30.73,537.0,326.0,358.0,489.0
9,1446396,489.0,617.0,275.0,99.0,33.18,87.99,30.73,539.0,326.0,359.0,492.0
10,1446496,490.0,617.0,275.0,98.0,33.18,87.99,30.73,538.0,326.0,360.0,492.0
11,1446596,489.0,617.0,275.0,98.0,33.18,87.99,30.73,538.0,327.0,359.0,492.0
12,1446696,489.0,617.0,275.0,99.0,33.18,87.99,30.73,539.0,326.0,359.0,491.0
13,1446796,489.0,617.0,275.0,98.0,33.18,87.99,30.73,536.0,327.0,360.0,492.0
14,1446896,489.0,617.0,275.0,99.0,33.18,87.99,30.73,539.0,326.0,359.0,493.0
15,1446996,489.0,617.0,275.0,98.0,33.18,87.99,30.73,539.0,328.0,359.0,492.0
16,1447096,489.0,618.0,275.0,98.0,33.18,87.99,30.73,539.0,326.0,358.0,492.0
17,1447196,489.0,617.0,275.0,98.0,33.18,87.99,30.73,538.0,326.0,358.0,492.0
18,1447296,489.0,617.0,276.0,98.0,33.18,87.99,30.73,539.0,326.0,360.0,492.0
19,1447396,489.0,617.0,275.0,98.0,33.18,87.99,30.73,539.0,326.0,359.0,492.0
20,1447496,489.0,617.0,275.0,98.0,33.18,87.99,30.73,537.0,327.0,360.0,492.0
21,1447596,490.0,618.0,275.0,98.0,33.18,87.99,30.73,539.0,326.0,357.0,492.0
22,1447696,490.0,617.0,275.0,98.0,33.18,87.99,30.73,539.0,327.0,357.0,492.0
23,1447796,489.0,618.0,275.0,99.0,33.18,87.99,30.73,538.0,326.0,360.0,491.0
24,1447896,489.0,617.0,275.0,99.0,33.18,87.99,30.73,539.0,327.0,360.0,492.0
25,1447996,490.0,617.0,275.0,98.0,33.18,87.99,30.73,539.0,326.0,360.0,490.0
26,1448096,490.0,618.0,275.0,99.0,33.18,87.99,30.73,538.0,326.0,359.0,492.0
27,1448196,489.0,618.0,276.0,98.0,33.18,87.99,30.73,539.0,327.0,359.0,492.0
28,1448296,490.0,617.0,275.0,98.0,33.18,87.99,30.73,539.0,327.0,360.0,492.0
