,timestamp,voc2,no2,eth,co,temp,pressure,humidity,mq3,mq7,mq9,mq135
600,18274291,364.0,544.0,208.0,117.0,36.44,88.08,25.43,239.0,264.0,270.0,366.0
601,18274391,363.0,543.0,208.0,116.0,36.44,88.08,25.43,238.0,265.0,271.0,368.0
602,18274491,363.0,543.0,208.0,116.0,36.44,88.08,25.43,241.0,265.0,270.0,367.0
603,18274591,364.0,543.0,208.0,117.0,36.44,88.08,25.43,241.0,264.0,269.0,369.0
604,18274691,363.0,543.0,208.0,116.0,36.44,88.08,25.43,240.0,265.0,271.0,367.0
605,18274791,364.0,543.0,208.0,116.0,36.44,88.08,25.43,239.0,265.0,270.0,366.0
606,18274891,363.0,542.0,208.0,116.0,36.44,88.08,25.43,239.0,265.0,269.0,367.0
607,18274991,363.0,542.0,208.0,117.0,36.44,88.08,25.43,241.0,265.0,270.0,366.0
608,18275091,363.0,542.0,208.0,116.0,36.44,88.08,25.43,239.0,265.0,268.0,366.0
609,18275191,364.0,541.0,208.0,116.0,36.44,88.08,25.43,239.0,265.0,270.0,366.0
610,18275291,363.0,542.0,208.0,116.0,36.44,88.08,25.43,239.0,265.0,271.0,367.0
611,18275391,363.0,541.0,208.0,116.0,36.44,88.08,25.43,241.0,264.0,271.0,367.0
612,18275491,363.0,540.0,208.0,116.0,36.44,88.08,25.43,242.0,262.0,271.0,369.0
613,18275591,363.0,540.0,207.0,116.0,36.44,88.08,25.43,241.0,267.0,271.0,366.0
614,18275691,363.0,539.0,208.0,116.0,36.44,88.08,25.43,240.0,265.0,269.0,363.0
615,18275791,363.0,538.0,207.0,116.0,36.44,88.08,25.43,240.0,265.0,270.0,366.0
616,18275891,363.0,539.0,208.0,116.0,36.44,88.08,25.43,239.0,264.0,270.0,366.0
617,18275991,363.0,538.0,207.0,116.0,36.44,88.08,25.43,238.0,265.0,270.0,366.0
618,18276091,362.0,538.0,207.0,116.0,36.44,88.08,25.43,239.0,265.0,270.0,366.0
619,18276191,362.0,537.0,207.0,116.0,36.44,88.08,25.43,239.0,265.0,269.0,366.0
620,18276291,362.0,537.0,207.0,116.0,36.44,88.08,25.43,239.0,265.0,269.0,366.0
621,18276391,362.0,536.0,207.0,116.0,36.44,88.08,25.43,238.0,264.0,270.0,367.0
622,18276491,362.0,536.0,208.0,116.0,36.44,88.08,25.43,239.0,266.0,270.0,366.0
623,18276591,363.0,536.0,207.0,116.0,36.44,88.08,25.43,241.0,265.0,270.0,360.0
624,18276691,362.0,536.0,208.0,116.0,36.44,88.08,25.43,243.0,264.0,270.0,368.0
625,18276791,362.0,535.0,207.0,115.0,36.44,88.08,25.43,240.0,266.0,271.0,364.0
626,18276891,362.0,535.0,207.0,115.0,36.44,88.08,25.43,238.0,265.0,270.0,364.0
627,18276991,362.0,535.0,207.0,116.0,36.44,88.08,25.43,239.0,263.0,270.0,365.0
628,18277091,362.0,535.0,207.0,116.0,36.44,88.08,25.43,239.0,264.0,271.0,365.0
629,18277191,362.0,534.0,207.0,115.0,36.44,88.08,25.43,239.0,264.0,269.0,364.0
630,18277291,362.0,534.0,207.0,116.0,36.44,88.08,25.43,240.0,263.0,270.0,366.0
631,18277391,362.0,533.0,207.0,116.0,36.44,88.08,25.43,239.0,265.0,271.0,365.0
632,18277491,362.0,534.0,207.0,115.0,36.44,88.08,25.43,240.0,267.0,270.0,365.0
633,18277591,362.0,534.0,207.0,116.0,36.44,88.08,25.43,241.0,267.0,271.0,365.0
634,18277691,362.0,533.0,207.0,116.0,36.44,88.08,25.43,238.0,264.0,270.0,365.0
635,18277791,362.0,534.0,207.0,115.0,36.44,88.08,25.43,238.0,266.0,271.0,366.0
636,18277891,361.0,534.0,207.0,116.0,36.44,88.08,25.43,239.0,265.0,271.0,365.0
637,18277991,361.0,534.0,207.0,116.0,36.44,88.08,25.43,239.0,265.0,270.0,365.0
638,18278091,362.0,534.0,207.0,115.0,36.44,88.08,25.43,239.0,265.0,269.0,366.0
639,18278191,362.0,533.0,207.0,115.0,36.44,88.08,25.43,238.0,264.0,267.0,366.0
640,18278291,362.0,533.0,207.0,115.0,36.44,88.08,25.43,237.0,264.0,270.0,365.0
641,18278391,361.0,533.0,207.0,116.0,36.44,88.08,25.43,238.0,265.0,270.0,366.0
642,18278491,362.0,533.0,206.0,116.0,36.44,88.08,25.43,237.0,264.0,268.0,365.0
643,18278591,361.0,534.0,206.0,115.0,36.44,88.08,25.43,237.0,264.0,270.0,366.0
644,18278691,361.0,533.0,206.0,116.0,36.44,88.08,25.43,237.0,264.0,269.0,364.0
645,18278791,362.0,533.0,207.0,116.0,36.44,88.08,25.43,238.0,264.0,268.0,365.0
646,18278891,362.0,532.0,206.0,116.0,36.44,88.08,25.43,238.0,264.0,270.0,363.0
647,18278991,361.0,532.0,207.0,115.0,36.44,88.08,25.43,238.0,264.0,270.0,364.0
648,18279091,362.0,531.0,206.0,115.0,36.44,88.08,25.43,240.0,264.0,269.0,365.0
649,18279191,361.0,532.0,206.0,115.0,36.44,88.08,25.43,238.0,264.0,268.0,365.0
650,18279291,361.0,532.0,206.0,115.0,36.44,88.08,25.43,237.0,265.0,270.0,364.0
651,18279391,361.0,532.0,207.0,115.0,36.44,88.08,25.43,238.0,264.0,271.0,365.0
652,18279491,362.0,531.0,206.0,115.0,36.44,88.08,25.43,238.0,267.0,270.0,365.0
653,18279591,361.0,532.0,206.0,116.0,36.44,88.08,25.43,240.0,267.0,271.0,364.0
654,18279691,361.0,532.0,206.0,116.0,36.44,88.08,25.43,241.0,268.0,271.0,365.0
655,18279791,361.0,532.0,206.0,116.0,36.44,88.08,25.43,241.0,267.0,271.0,365.0
656,18279891,362.0,532.0,206.0,116.0,36.44,88.08,25.43,239.0,259.0,267.0,368.0
657,18279991,361.0,532.0,206.0,115.0,36.44,88.08,25.43,239.0,263.0,266.0,368.0
658,18280091,361.0,532.0,206.0,114.0,36.44,88.08,25.43,241.0,266.0,270.0,365.0
659,18280191,360.0,532.0,206.0,115.0,36.44,88.08,25.43,237.0,264.0,269.0,364.0
660,18280291,360.0,533.0,207.0,115.0,36.44,88.08,25.43,237.0,265.0,267.0,364.0
661,18280391,360.0,533.0,206.0,115.0,36.44,88.08,25.43,237.0,264.0,269.0,364.0
662,18280491,361.0,533.0,206.0,115.0,36.44,88.08,25.43,237.0,263.0,268.0,364.0
663,18280591,361.0,532.0,207.0,115.0,36.44,88.08,25.43,237.0,263.0,268.0,363.0
664,18280691,361.0,533.0,206.0,115.0,36.44,88.08,25.43,237.0,264.0,268.0,363.0
665,18280791,360.0,533.0,206.0,116.0,36.44,88.08,25.43,236.0,263.0,269.0,363.0
666,18280891,361.0,533.0,206.0,115.0,36.44,88.08,25.43,238.0,264.0,269.0,364.0
667,18280991,361.0,532.0,206.0,116.0,36.44,88.08,25.43,238.0,265.0,270.0,363.0
668,18281091,361.0,533.0,206.0,115.0,36.44,88.08,25.43,239.0,259.0,265.0,367.0
669,18281191,361.0,533.0,206.0,115.0,36.44,88.08,25.43,238.0,264.0,269.0,363.0
670,18281291,361.0,533.0,206.0,115.0,36.44,88.08,25.43,238.0,264.0,268.0,364.0
671,18281391,361.0,533.0,206.0,115.0,36.44,88.08,25.43,237.0,263.0,269.0,363.0
672,18281491,361.0,533.0,206.0,116.0,36.44,88.08,25.43,237.0,265.0,269.0,364.0
673,18281591,360.0,533.0,206.0,115.0,36.44,88.08,25.43,237.0,264.0,266.0,364.0
674,18281691,360.0,532.0,206.0,116.0,36.44,88.08,25.43,237.0,264.0,270.0,363.0
675,18281791,361.0,533.0,206.0,115.0,36.44,88.08,25.43,239.0,265.0,270.0,366.0
676,18281891,361.0,532.0,206.0,115.0,36.44,88.08,25.43,239.0,265.0,269.0,364.0
677,18281991,361.0,533.0,206.0,116.0,36.44,88.08,25.43,238.0,264.0,268.0,363.0
678,18282091,360.0,533.0,206.0,115.0,36.44,88.08,25.43,237.0,261.0,268.0,363.0
679,18282191,360.0,533.0,206.0,115.0,36.44,88.08,25.43,237.0,264.0,269.0,364.0
680,18282291,360.0,533.0,206.0,116.0,36.44,88.08,25.43,238.0,264.0,269.0,363.0
