,timestamp,voc2,no2,eth,co,temp,pressure,humidity,mq3,mq7,mq9,mq135
2854,19585469,377.0,564.0,195.0,135.0,35.42,88.09,28.66,272.0,325.0,259.0,388.0
2855,19585569,377.0,565.0,195.0,135.0,35.42,88.09,28.66,272.0,328.0,260.0,387.0
2856,19585669,377.0,565.0,195.0,135.0,35.42,88.09,28.66,272.0,328.0,262.0,389.0
2857,19585769,377.0,564.0,195.0,135.0,35.42,88.09,28.66,272.0,329.0,260.0,389.0
2858,19585869,377.0,564.0,195.0,135.0,35.42,88.09,28.66,270.0,328.0,260.0,387.0
2859,19585969,377.0,564.0,195.0,134.0,35.42,88.09,28.66,271.0,329.0,260.0,387.0
2860,19586069,377.0,564.0,195.0,135.0,35.42,88.09,28.66,263.0,330.0,263.0,387.0
2861,19586169,377.0,564.0,195.0,135.0,35.42,88.09,28.66,270.0,328.0,260.0,388.0
2862,19586269,377.0,563.0,195.0,134.0,35.42,88.09,28.66,271.0,327.0,259.0,387.0
2863,19586369,377.0,563.0,195.0,134.0,35.42,88.09,28.66,272.0,329.0,260.0,387.0
2864,19586469,376.0,563.0,195.0,135.0,35.42,88.09,28.66,272.0,329.0,260.0,389.0
2865,19586569,377.0,562.0,194.0,134.0,35.42,88.09,28.66,272.0,329.0,259.0,387.0
2866,19586669,377.0,563.0,194.0,134.0,35.42,88.09,28.66,267.0,327.0,260.0,388.0
2867,19586769,376.0,563.0,195.0,134.0,35.42,88.09,28.66,273.0,329.0,260.0,387.0
2868,19586869,377.0,563.0,195.0,134.0,35.42,88.09,28.66,273.0,329.0,261.0,387.0
2869,19586969,377.0,563.0,195.0,134.0,35.42,88.09,28.66,271.0,329.0,259.0,387.0
2870,19587069,377.0,562.0,195.0,134.0,35.42,88.09,28.66,271.0,328.0,257.0,387.0
2871,19587169,377.0,562.0,195.0,134.0,35.42,88.09,28.66,271.0,328.0,261.0,388.0
2872,19587269,377.0,563.0,195.0,134.0,35.42,88.09,28.66,271.0,328.0,262.0,389.0
2873,19587369,376.0,563.0,195.0,133.0,35.42,88.09,28.66,272.0,327.0,259.0,387.0
2874,19587469,376.0,562.0,195.0,134.0,35.42,88.09,28.66,271.0,328.0,260.0,387.0
2875,19587569,375.0,563.0,195.0,134.0,35.42,88.09,28.66,272.0,329.0,261.0,387.0
2876,19587669,376.0,562.0,195.0,134.0,35.42,88.09,28.66,273.0,329.0,261.0,389.0
2877,19587769,376.0,562.0,195.0,133.0,35.42,88.09,28.66,271.0,327.0,259.0,387.0
2878,19587869,376.0,562.0,194.0,133.0,35.42,88.09,28.66,271.0,328.0,261.0,388.0
2879,19587969,375.0,562.0,194.0,133.0,35.42,88.09,28.66,271.0,330.0,260.0,388.0
2880,19588069,375.0,562.0,195.0,133.0,35.42,88.09,28.66,276.0,327.0,260.0,391.0
2881,19588169,375.0,561.0,195.0,133.0,35.42,88.09,28.66,270.0,327.0,259.0,389.0
2882,19588269,375.0,561.0,195.0,133.0,35.42,88.09,28.66,271.0,328.0,259.0,388.0
2883,19588369,374.0,560.0,195.0,133.0,35.42,88.09,28.66,271.0,327.0,259.0,388.0
2884,19588469,374.0,561.0,195.0,133.0,35.42,88.09,28.66,274.0,328.0,261.0,390.0
2885,19588569,374.0,560.0,195.0,133.0,35.42,88.09,28.66,271.0,328.0,260.0,388.0
2886,19588669,375.0,561.0,195.0,133.0,35.42,88.09,28.66,271.0,328.0,259.0,388.0
2887,19588769,374.0,560.0,195.0,133.0,35.42,88.09,28.66,271.0,329.0,260.0,387.0
2888,19588869,374.0,561.0,195.0,133.0,35.42,88.09,28.66,272.0,328.0,259.0,388.0
2889,19588969,374.0,561.0,195.0,133.0,35.42,88.09,28.66,271.0,328.0,260.0,387.0
2890,19589069,374.0,560.0,195.0,132.0,35.42,88.09,28.66,271.0,328.0,258.0,387.0
2891,19589169,375.0,560.0,195.0,133.0,35.42,88.09,28.66,271.0,329.0,260.0,387.0
2892,19589269,374.0,560.0,195.0,133.0,35.42,88.09,28.66,271.0,328.0,261.0,388.0
2893,19589369,374.0,560.0,194.0,133.0,35.42,88.09,28.66,270.0,328.0,260.0,387.0
2894,19589469,374.0,560.0,195.0,133.0,35.42,88.09,28.66,270.0,330.0,260.0,387.0
2895,19589569,374.0,560.0,195.0,132.0,35.42,88.09,28.66,274.0,333.0,264.0,387.0
2896,19589669,374.0,560.0,195.0,133.0,35.42,88.09,28.66,270.0,328.0,259.0,388.0
2897,19589769,374.0,560.0,195.0,133.0,35.42,88.09,28.66,269.0,328.0,259.0,387.0
2898,19589869,374.0,560.0,194.0,132.0,35.42,88.09,28.66,270.0,328.0,259.0,387.0
2899,19589969,374.0,559.0,194.0,132.0,35.42,88.09,28.66,271.0,330.0,265.0,389.0
2900,19590069,373.0,560.0,195.0,133.0,35.42,88.09,28.66,270.0,326.0,257.0,386.0
2901,19590169,374.0,560.0,195.0,132.0,35.42,88.09,28.66,270.0,328.0,258.0,387.0
2902,19590269,374.0,559.0,194.0,132.0,35.42,88.09,28.66,270.0,328.0,259.0,387.0
2903,19590369,373.0,559.0,194.0,132.0,35.42,88.09,28.66,272.0,327.0,259.0,391.0
2904,19590469,373.0,559.0,194.0,132.0,35.42,88.09,28.66,269.0,327.0,258.0,388.0
2905,19590569,374.0,559.0,194.0,131.0,35.42,88.09,28.66,270.0,326.0,259.0,387.0
2906,19590669,373.0,559.0,194.0,132.0,35.42,88.09,28.66,270.0,329.0,261.0,388.0
2907,19590769,373.0,559.0,194.0,131.0,35.42,88.09,28.66,274.0,328.0,262.0,391.0
2908,19590869,373.0,558.0,194.0,132.0,35.42,88.09,28.66,270.0,328.0,260.0,387.0
2909,19590969,374.0,558.0,194.0,132.0,35.42,88.09,28.66,268.0,328.0,261.0,388.0
2910,19591069,373.0,559.0,194.0,132.0,35.42,88.09,28.66,271.0,329.0,260.0,387.0
2911,19591169,373.0,559.0,194.0,132.0,35.42,88.09,28.66,273.0,325.0,261.0,391.0
2912,19591269,374.0,559.0,194.0,131.0,35.42,88.09,28.66,268.0,329.0,258.0,388.0
2913,19591369,374.0,558.0,194.0,132.0,35.42,88.09,28.66,270.0,328.0,258.0,387.0
2914,19591469,373.0,559.0,194.0,132.0,35.42,88.09,28.66,271.0,328.0,260.0,387.0
2915,19591569,373.0,558.0,194.0,132.0,35.42,88.09,28.66,271.0,330.0,263.0,386.0
2916,19591669,374.0,558.0,194.0,132.0,35.42,88.09,28.66,270.0,329.0,259.0,387.0
2917,19591769,373.0,558.0,194.0,132.0,35.42,88.09,28.66,269.0,328.0,259.0,386.0
2918,19591869,373.0,558.0,194.0,132.0,35.42,88.09,28.66,269.0,328.0,259.0,387.0
2919,19591969,374.0,558.0,194.0,132.0,35.42,88.09,28.66,272.0,330.0,262.0,388.0
2920,19592069,373.0,558.0,194.0,132.0,35.42,88.09,28.66,270.0,328.0,259.0,388.0
2921,19592169,374.0,559.0,194.0,132.0,35.42,88.09,28.66,269.0,328.0,258.0,387.0
2922,19592269,373.0,558.0,194.0,132.0,35.42,88.09,28.66,271.0,327.0,260.0,387.0
2923,19592369,373.0,559.0,194.0,132.0,35.42,88.09,28.66,270.0,329.0,260.0,387.0
2924,19592469,373.0,559.0,194.0,132.0,35.42,88.09,28.66,272.0,329.0,262.0,388.0
2925,19592569,374.0,558.0,194.0,132.0,35.42,88.09,28.66,270.0,328.0,259.0,387.0
2926,19592669,373.0,559.0,194.0,131.0,35.42,88.09,28.66,269.0,328.0,259.0,387.0
2927,19592769,373.0,559.0,194.0,132.0,35.42,88.09,28.66,270.0,328.0,258.0,387.0
2928,19592869,373.0,559.0,194.0,132.0,35.42,88.09,28.66,271.0,325.0,258.0,392.0
2929,19592969,373.0,559.0,193.0,132.0,35.42,88.09,28.66,269.0,328.0,259.0,387.0
2930,19593069,374.0,559.0,195.0,132.0,35.42,88.09,28.66,269.0,328.0,259.0,387.0
2931,19593169,373.0,559.0,195.0,132.0,35.42,88.09,28.66,270.0,328.0,261.0,388.0
2932,19593269,373.0,559.0,194.0,132.0,35.42,88.09,28.66,271.0,330.0,262.0,388.0
2933,19593369,373.0,559.0,194.0,132.0,35.42,88.09,28.66,272.0,329.0,260.0,388.0
2934,19593469,372.0,559.0,194.0,132.0,35.42,88.09,28.66,268.0,328.0,260.0,388.0
2935,19593569,373.0,559.0,194.0,131.0,35.42,88.09,28.66,269.0,329.0,261.0,386.0
2936,19593669,373.0,560.0,194.0,132.0,35.42,88.09,28.66,270.0,327.0,260.0,387.0
2937,19593769,373.0,559.0,194.0,132.0,35.42,88.09,28.66,274.0,326.0,260.0,390.0
