,timestamp,voc2,no2,eth,co,temp,pressure,humidity,mq3,mq7,mq9,mq135
1200,832190,490.0,621.0,265.0,112.0,33.18,88.49,40.67,326.0,276.0,346.0,452.0
1201,832290,490.0,621.0,266.0,112.0,33.18,88.49,40.67,326.0,276.0,344.0,452.0
1202,832390,490.0,621.0,265.0,111.0,33.18,88.49,40.67,326.0,275.0,344.0,451.0
1203,832490,490.0,621.0,266.0,111.0,33.18,88.49,40.67,325.0,275.0,345.0,453.0
1204,832590,490.0,621.0,266.0,112.0,33.18,88.49,40.67,325.0,278.0,346.0,453.0
1205,832690,490.0,621.0,265.0,111.0,33.18,88.49,40.67,330.0,266.0,344.0,457.0
1206,832790,490.0,621.0,265.0,111.0,33.18,88.49,40.67,328.0,279.0,347.0,452.0
1207,832890,490.0,621.0,266.0,112.0,33.18,88.49,40.67,325.0,276.0,344.0,452.0
1208,832990,489.0,621.0,266.0,111.0,33.18,88.49,40.67,326.0,275.0,343.0,451.0
1209,833090,490.0,622.0,266.0,111.0,33.18,88.49,40.67,325.0,277.0,345.0,452.0
1210,833190,490.0,621.0,266.0,111.0,33.18,88.49,40.67,325.0,275.0,345.0,453.0
1211,833290,490.0,622.0,265.0,111.0,33.18,88.49,40.67,329.0,278.0,347.0,454.0
1212,833390,490.0,622.0,266.0,111.0,33.18,88.49,40.67,329.0,282.0,349.0,454.0
1213,833490,490.0,622.0,266.0,111.0,33.18,88.49,40.67,326.0,277.0,344.0,452.0
1214,833590,490.0,622.0,266.0,111.0,33.18,88.49,40.67,326.0,276.0,345.0,452.0
1215,833690,489.0,622.0,266.0,111.0,33.18,88.49,40.67,325.0,275.0,345.0,452.0
1216,833790,490.0,622.0,266.0,111.0,33.18,88.49,40.67,325.0,273.0,344.0,452.0
1217,833890,490.0,622.0,266.0,111.0,33.18,88.49,40.67,327.0,276.0,346.0,452.0
1218,833990,490.0,623.0,266.0,111.0,33.18,88.49,40.67,320.0,281.0,335.0,454.0
1219,834090,490.0,622.0,266.0,111.0,33.18,88.49,40.67,327.0,280.0,347.0,453.0
1220,834190,490.0,623.0,266.0,111.0,33.18,88.49,40.67,327.0,277.0,343.0,451.0
1221,834290,490.0,623.0,266.0,111.0,33.18,88.49,40.67,325.0,274.0,346.0,452.0
1222,834390,490.0,623.0,266.0,111.0,33.18,88.49,40.67,325.0,274.0,345.0,452.0
1223,834490,490.0,623.0,266.0,111.0,33.18,88.49,40.67,325.0,274.0,344.0,451.0
1224,834590,490.0,624.0,266.0,111.0,33.18,88.49,40.67,327.0,278.0,346.0,454.0
1225,834690,490.0,623.0,266.0,111.0,33.18,88.49,40.67,332.0,279.0,350.0,456.0
1226,834790,490.0,624.0,266.0,111.0,33.18,88.49,40.67,327.0,278.0,347.0,454.0
1227,834890,490.0,623.0,266.0,111.0,33.18,88.49,40.67,326.0,276.0,344.0,452.0
1228,834990,490.0,623.0,266.0,111.0,33.18,88.49,40.67,326.0,277.0,345.0,450.0
1229,835090,490.0,624.0,266.0,111.0,33.18,88.49,40.67,325.0,276.0,344.0,452.0
1230,835190,489.0,624.0,266.0,111.0,33.18,88.49,40.67,324.0,274.0,345.0,453.0
1231,835290,489.0,625.0,267.0,111.0,33.18,88.49,40.67,328.0,277.0,346.0,454.0
1232,835390,490.0,625.0,267.0,111.0,33.18,88.49,40.67,329.0,276.0,347.0,454.0
1233,835490,490.0,625.0,267.0,111.0,33.18,88.49,40.67,327.0,277.0,345.0,452.0
1234,835590,490.0,624.0,267.0,110.0,33.18,88.49,40.67,326.0,277.0,345.0,452.0
1235,835690,490.0,625.0,267.0,111.0,33.18,88.49,40.67,326.0,276.0,345.0,452.0
1236,835790,490.0,624.0,267.0,111.0,33.18,88.49,40.67,326.0,277.0,345.0,452.0
1237,835890,490.0,625.0,266.0,111.0,33.18,88.49,40.67,326.0,277.0,344.0,452.0
1238,835990,490.0,625.0,266.0,110.0,33.18,88.49,40.67,316.0,281.0,346.0,451.0
1239,836090,490.0,625.0,267.0,110.0,33.18,88.49,40.67,327.0,278.0,344.0,452.0
1240,836190,490.0,625.0,267.0,111.0,33.18,88.49,40.67,325.0,278.0,345.0,451.0
1241,836290,490.0,625.0,267.0,111.0,33.18,88.49,40.67,324.0,273.0,345.0,452.0
1242,836390,490.0,625.0,267.0,110.0,33.18,88.49,40.67,325.0,273.0,345.0,452.0
1243,836490,490.0,626.0,267.0,111.0,33.18,88.49,40.67,327.0,277.0,345.0,452.0
1244,836590,489.0,625.0,267.0,111.0,33.18,88.49,40.67,323.0,280.0,337.0,455.0
1245,836690,489.0,625.0,267.0,111.0,33.18,88.49,40.67,327.0,278.0,345.0,452.0
1246,836790,489.0,625.0,267.0,111.0,33.18,88.49,40.67,325.0,276.0,346.0,452.0
1247,836890,490.0,625.0,268.0,111.0,33.18,88.49,40.67,326.0,276.0,345.0,452.0
1248,836990,490.0,625.0,268.0,111.0,33.18,88.49,40.67,326.0,276.0,344.0,452.0
1249,837090,490.0,624.0,267.0,110.0,33.18,88.49,40.67,328.0,277.0,346.0,454.0
1250,837190,490.0,624.0,267.0,110.0,33.18,88.49,40.67,327.0,281.0,349.0,453.0
1251,837290,490.0,625.0,267.0,110.0,33.18,88.49,40.67,326.0,276.0,346.0,452.0
1252,837390,489.0,625.0,267.0,110.0,33.18,88.49,40.67,324.0,277.0,345.0,452.0
1253,837490,489.0,625.0,267.0,110.0,33.18,88.49,40.67,325.0,275.0,345.0,452.0
1254,837590,489.0,625.0,268.0,110.0,33.18,88.49,40.67,328.0,276.0,347.0,455.0
1255,837690,490.0,625.0,268.0,110.0,33.18,88.49,40.67,327.0,279.0,347.0,452.0
1256,837790,490.0,625.0,267.0,110.0,33.18,88.49,40.67,326.0,277.0,344.0,452.0
1257,837890,490.0,625.0,268.0,111.0,33.18,88.49,40.67,325.0,275.0,345.0,452.0
1258,837990,490.0,624.0,267.0,110.0,33.18,88.49,40.67,324.0,276.0,346.0,452.0
1259,838090,489.0,626.0,268.0,111.0,33.18,88.49,40.67,329.0,280.0,349.0,442.0
1260,838190,489.0,626.0,267.0,110.0,33.18,88.49,40.67,327.0,280.0,347.0,452.0
1261,838290,490.0,625.0,268.0,110.0,33.18,88.49,40.67,325.0,276.0,344.0,452.0
1262,838390,490.0,625.0,268.0,110.0,33.18,88.49,40.67,326.0,277.0,345.0,452.0
1263,838490,490.0,625.0,267.0,111.0,33.18,88.49,40.67,325.0,275.0,346.0,453.0
1264,838590,489.0,625.0,267.0,110.0,33.18,88.49,40.67,326.0,276.0,344.0,452.0
1265,838690,490.0,625.0,268.0,111.0,33.18,88.49,40.67,330.0,278.0,349.0,456.0
1266,838790,489.0,625.0,268.0,111.0,33.18,88.49,40.67,329.0,281.0,346.0,451.0
1267,838890,489.0,624.0,269.0,111.0,33.18,88.49,40.67,329.0,279.0,346.0,452.0
1268,838990,489.0,625.0,268.0,110.0,33.18,88.49,40.67,324.0,276.0,344.0,452.0
1269,839090,489.0,625.0,268.0,111.0,33.18,88.49,40.67,325.0,276.0,346.0,453.0
1270,839190,490.0,625.0,268.0,110.0,33.18,88.49,40.67,325.0,275.0,345.0,452.0
1271,839290,490.0,624.0,268.0,110.0,33.18,88.49,40.67,326.0,276.0,344.0,451.0
1272,839390,490.0,624.0,268.0,110.0,33.18,88.49,40.67,326.0,276.0,344.0,453.0
1273,839490,490.0,625.0,268.0,110.0,33.18,88.49,40.67,320.0,280.0,332.0,454.0
1274,839590,490.0,624.0,268.0,110.0,33.18,88.49,40.67,328.0,281.0,349.0,452.0
1275,839690,490.0,624.0,268.0,111.0,33.18,88.49,40.67,326.0,278.0,346.0,452.0
1276,839790,490.0,625.0,268.0,110.0,33.18,88.49,40.67,325.0,276.0,346.0,451.0
1277,839890,489.0,624.0,268.0,111.0,33.18,88.49,40.67,324.0,276.0,346.0,450.0
1278,839990,490.0,625.0,268.0,110.0,33.18,88.49,40.67,326.0,274.0,346.0,452.0
1279,840090,489.0,624.0,269.0,110.0,33.18,88.49,40.67,324.0,275.0,343.0,450.0
1280,840190,489.0,625.0,268.0,110.0,33.18,88.49,40.67,326.0,275.0,346.0,451.0
1281,840290,489.0,624.0,268.0,110.0,33.18,88.49,40.67,327.0,276.0,347.0,455.0
1282,840390,490.0,624.0,268.0,110.0,33.18,88.49,40.67,330.0,273.0,347.0,457.0
1283,840490,489.0,624.0,268.0,111.0,33.18,88.49,40.67,326.0,278.0,346.0,452.0
1284,840590,489.0,624.0,268.0,110.0,33.18,88.49,40.67,325.0,276.0,346.0,452.0
1285,840690,490.0,624.0,268.0,110.0,33.18,88.49,40.67,325.0,276.0,344.0,452.0
1286,840790,489.0,624.0,269.0,110.0,33.18,88.49,40.67,325.0,275.0,342.0,452.0
1287,840890,490.0,624.0,269.0,110.0,33.18,88.49,40.67,325.0,275.0,345.0,453.0
1288,840990,489.0,624.0,268.0,111.0,33.18,88.49,40.67,324.0,277.0,345.0,453.0
1289,841090,489.0,624.0,269.0,110.0,33.18,88.49,40.67,318.0,280.0,339.0,454.0
1290,841190,489.0,624.0,269.0,111.0,33.18,88.49,40.67,328.0,281.0,347.0,453.0
1291,841290,489.0,624.0,270.0,110.0,33.18,88.49,40.67,323.0,277.0,345.0,452.0
1292,841390,490.0,624.0,269.0,110.0,33.18,88.49,40.67,325.0,275.0,345.0,452.0
1293,841490,490.0,624.0,270.0,110.0,33.18,88.49,40.67,324.0,275.0,345.0,453.0
1294,841590,489.0,624.0,269.0,110.0,33.18,88.49,40.67,325.0,276.0,345.0,452.0
1295,841690,489.0,624.0,269.0,110.0,33.18,88.49,40.67,326.0,276.0,346.0,452.0
1296,841790,489.0,624.0,269.0,110.0,33.18,88.49,40.67,321.0,278.0,335.0,454.0
1297,841890,490.0,623.0,268.0,110.0,33.18,88.49,40.67,327.0,279.0,346.0,453.0
1298,841990,489.0,624.0,270.0,111.0,33.18,88.49,40.67,325.0,277.0,346.0,453.0
1299,842090,489.0,624.0,269.0,111.0,33.18,88.49,40.67,325.0,275.0,344.0,452.0
1300,842190,490.0,624.0,269.0,111.0,33.18,88.49,40.67,325.0,275.0,344.0,452.0
1301,842290,489.0,624.0,269.0,110.0,33.18,88.49,40.67,326.0,276.0,344.0,452.0
1302,842390,490.0,624.0,269.0,110.0,33.18,88.49,40.67,326.0,275.0,346.0,453.0
1303,842490,489.0,624.0,270.0,110.0,33.18,88.49,40.67,321.0,281.0,335.0,454.0
1304,842590,490.0,623.0,269.0,110.0,33.18,88.49,40.67,328.0,278.0,349.0,453.0
1305,842690,489.0,624.0,270.0,111.0,33.18,88.49,40.67,326.0,276.0,344.0,452.0
1306,842790,489.0,623.0,270.0,110.0,33.18,88.49,40.67,324.0,276.0,346.0,453.0
1307,842890,490.0,623.0,270.0,111.0,33.18,88.49,40.67,325.0,275.0,345.0,451.0
1308,842990,489.0,622.0,269.0,110.0,33.18,88.49,40.67,325.0,275.0,345.0,453.0
1309,843090,489.0,624.0,270.0,110.0,33.18,88.49,40.67,326.0,276.0,347.0,453.0
1310,843190,489.0,624.0,270.0,110.0,33.18,88.49,40.67,331.0,281.0,348.0,455.0
1311,843290,489.0,623.0,269.0,110.0,33.18,88.49,40.67,327.0,279.0,349.0,453.0
1312,843390,489.0,622.0,269.0,111.0,33.18,88.49,40.67,326.0,277.0,346.0,452.0
1313,843490,490.0,622.0,270.0,110.0,33.18,88.49,40.67,325.0,276.0,345.0,452.0
1314,843590,489.0,623.0,269.0,110.0,33.18,88.49,40.67,325.0,275.0,345.0,449.0
1315,843690,489.0,623.0,270.0,111.0,33.18,88.49,40.67,325.0,275.0,345.0,452.0
1316,843790,489.0,623.0,270.0,111.0,33.18,88.49,40.67,328.0,277.0,347.0,454.0
1317,843890,489.0,622.0,270.0,110.0,33.18,88.49,40.67,328.0,280.0,349.0,454.0
1318,843990,489.0,623.0,270.0,110.0,33.18,88.49,40.67,323.0,278.0,346.0,452.0
1319,844090,489.0,623.0,270.0,110.0,33.18,88.49,40.67,329.0,275.0,346.0,450.0
1320,844190,490.0,623.0,270.0,110.0,33.18,88.49,40.67,324.0,276.0,345.0,452.0
1321,844290,489.0,623.0,270.0,110.0,33.18,88.49,40.67,325.0,274.0,346.0,453.0
1322,844390,489.0,623.0,270.0,110.0,33.18,88.49,40.67,332.0,271.0,346.0,457.0
1323,844490,490.0,623.0,270.0,111.0,33.18,88.49,40.67,326.0,279.0,346.0,453.0
1324,844590,489.0,623.0,270.0,110.0,33.18,88.49,40.67,324.0,276.0,345.0,452.0
1325,844690,489.0,623.0,270.0,110.0,33.18,88.49,40.67,325.0,275.0,345.0,452.0
1326,844790,490.0,623.0,270.0,110.0,33.18,88.49,40.67,325.0,275.0,345.0,452.0
1327,844890,490.0,623.0,270.0,110.0,33.18,88.49,40.67,327.0,276.0,347.0,454.0
1328,844990,488.0,623.0,270.0,110.0,33.18,88.49,40.67,330.0,282.0,351.0,453.0
1329,845090,490.0,623.0,270.0,110.0,33.18,88.49,40.67,326.0,277.0,345.0,452.0
1330,845190,490.0,622.0,270.0,110.0,33.18,88.49,40.67,324.0,276.0,345.0,452.0
1331,845290,489.0,623.0,269.0,110.0,33.18,88.49,40.67,325.0,275.0,345.0,451.0
1332,845390,489.0,623.0,270.0,110.0,33.18,88.49,40.67,325.0,274.0,346.0,451.0
1333,845490,489.0,623.0,270.0,111.0,33.18,88.49,40.67,325.0,275.0,345.0,453.0
1334,845590,489.0,622.0,270.0,111.0,33.18,88.49,40.67,329.0,278.0,349.0,453.0
1335,845690,489.0,623.0,270.0,111.0,33.18,88.49,40.67,328.0,278.0,348.0,452.0
1336,845790,489.0,622.0,270.0,110.0,33.18,88.49,40.67,325.0,276.0,346.0,453.0
1337,845890,489.0,623.0,271.0,111.0,33.18,88.49,40.67,325.0,275.0,346.0,452.0
