,timestamp,voc2,no2,eth,co,temp,pressure,humidity,mq3,mq7,mq9,mq135
0,1795067,483.0,602.0,237.0,122.0,33.25,88.57,41.18,319.0,322.0,315.0,547.0
1,1795167,484.0,602.0,238.0,122.0,33.25,88.57,41.18,330.0,319.0,319.0,549.0
2,1795267,483.0,602.0,238.0,122.0,33.25,88.57,41.18,328.0,318.0,318.0,549.0
3,1795367,483.0,601.0,238.0,122.0,33.25,88.57,41.18,332.0,318.0,320.0,549.0
4,1795467,484.0,601.0,238.0,122.0,33.25,88.57,41.18,332.0,320.0,321.0,549.0
5,1795567,483.0,603.0,237.0,122.0,33.25,88.57,41.18,330.0,318.0,315.0,549.0
6,1795667,482.0,601.0,237.0,122.0,33.25,88.57,41.18,330.0,319.0,320.0,547.0
7,1795767,483.0,603.0,238.0,121.0,33.25,88.57,41.18,334.0,324.0,323.0,548.0
8,1795867,482.0,603.0,238.0,122.0,33.25,88.57,41.18,330.0,318.0,317.0,549.0
9,1795967,483.0,602.0,238.0,122.0,33.25,88.57,41.18,330.0,319.0,317.0,549.0
10,1796067,483.0,602.0,237.0,122.0,33.25,88.57,41.18,337.0,320.0,324.0,548.0
11,1796167,483.0,601.0,238.0,122.0,33.25,88.57,41.18,331.0,317.0,318.0,548.0
12,1796267,483.0,602.0,237.0,122.0,33.25,88.57,41.18,329.0,317.0,316.0,548.0
13,1796367,483.0,603.0,238.0,122.0,33.25,88.57,41.18,316.0,320.0,323.0,549.0
14,1796467,483.0,603.0,238.0,121.0,33.25,88.57,41.18,333.0,318.0,316.0,547.0
15,1796567,483.0,603.0,238.0,121.0,33.25,88.57,41.18,330.0,317.0,318.0,549.0
16,1796667,483.0,603.0,238.0,121.0,33.25,88.57,41.18,334.0,321.0,319.0,545.0
17,1796767,484.0,603.0,238.0,121.0,33.25,88.57,41.18,333.0,322.0,321.0,547.0
18,1796867,484.0,604.0,238.0,121.0,33.25,88.57,41.18,329.0,319.0,318.0,549.0
19,1796967,483.0,604.0,238.0,121.0,33.25,88.57,41.18,330.0,317.0,318.0,549.0
20,1797067,483.0,604.0,239.0,122.0,33.25,88.57,41.18,336.0,325.0,325.0,548.0
21,1797167,484.0,604.0,238.0,121.0,33.25,88.57,41.18,330.0,319.0,318.0,549.0
22,1797267,484.0,605.0,238.0,121.0,33.25,88.57,41.18,329.0,318.0,317.0,549.0
23,1797367,483.0,604.0,238.0,121.0,33.25,88.57,41.18,333.0,320.0,321.0,545.0
24,1797467,483.0,605.0,238.0,121.0,33.25,88.57,41.18,331.0,319.0,319.0,546.0
25,1797567,484.0,605.0,238.0,121.0,33.25,88.57,41.18,329.0,318.0,317.0,549.0
26,1797667,483.0,606.0,238.0,121.0,33.25,88.57,41.18,331.0,318.0,319.0,549.0
27,1797767,483.0,606.0,239.0,121.0,33.25,88.57,41.18,332.0,321.0,320.0,548.0
