,timestamp,voc2,no2,eth,co,temp,pressure,humidity,mq3,mq7,mq9,mq135
6000,12087944,430.0,570.0,207.0,101.0,36.87,88.17,22.44,424.0,361.0,304.0,442.0
6001,12088044,429.0,570.0,207.0,101.0,36.87,88.17,22.44,424.0,360.0,305.0,442.0
6002,12088144,429.0,571.0,207.0,102.0,36.87,88.17,22.44,424.0,362.0,305.0,441.0
6003,12088244,430.0,571.0,207.0,101.0,36.87,88.17,22.44,424.0,361.0,306.0,441.0
6004,12088344,429.0,572.0,207.0,102.0,36.87,88.17,22.44,424.0,361.0,305.0,441.0
6005,12088444,429.0,572.0,208.0,101.0,36.87,88.17,22.44,426.0,362.0,308.0,442.0
6006,12088544,429.0,572.0,208.0,102.0,36.87,88.17,22.44,424.0,362.0,298.0,444.0
6007,12088644,429.0,573.0,207.0,101.0,36.87,88.17,22.44,425.0,365.0,305.0,442.0
6008,12088744,429.0,574.0,207.0,101.0,36.87,88.17,22.44,424.0,359.0,305.0,441.0
6009,12088844,429.0,573.0,207.0,101.0,36.87,88.17,22.44,424.0,361.0,305.0,440.0
6010,12088944,429.0,573.0,207.0,101.0,36.87,88.17,22.44,424.0,363.0,305.0,441.0
6011,12089044,429.0,573.0,207.0,102.0,36.87,88.17,22.44,424.0,361.0,305.0,441.0
6012,12089144,429.0,573.0,207.0,102.0,36.87,88.17,22.44,424.0,361.0,304.0,441.0
6013,12089244,429.0,574.0,207.0,101.0,36.87,88.17,22.44,424.0,359.0,306.0,439.0
6014,12089344,429.0,573.0,208.0,102.0,36.87,88.17,22.44,424.0,362.0,307.0,440.0
6015,12089444,429.0,573.0,208.0,102.0,36.87,88.17,22.44,412.0,365.0,308.0,438.0
6016,12089544,429.0,573.0,207.0,101.0,36.87,88.17,22.44,426.0,362.0,306.0,442.0
6017,12089644,429.0,574.0,208.0,101.0,36.87,88.17,22.44,424.0,363.0,305.0,441.0
6018,12089744,429.0,574.0,208.0,101.0,36.87,88.17,22.44,424.0,360.0,306.0,442.0
6019,12089844,429.0,574.0,208.0,102.0,36.87,88.17,22.44,425.0,362.0,305.0,441.0
6020,12089944,430.0,574.0,208.0,102.0,36.87,88.17,22.44,423.0,361.0,304.0,441.0
6021,12090044,429.0,574.0,208.0,101.0,36.87,88.17,22.44,424.0,362.0,305.0,440.0
6022,12090144,429.0,574.0,208.0,101.0,36.87,88.17,22.44,424.0,363.0,307.0,441.0
6023,12090244,429.0,574.0,207.0,102.0,36.87,88.17,22.44,427.0,365.0,306.0,443.0
6024,12090344,430.0,574.0,207.0,102.0,36.87,88.17,22.44,425.0,363.0,306.0,442.0
6025,12090444,430.0,574.0,208.0,101.0,36.87,88.17,22.44,424.0,361.0,304.0,441.0
6026,12090544,429.0,575.0,208.0,102.0,36.87,88.17,22.44,424.0,363.0,305.0,442.0
6027,12090644,429.0,575.0,208.0,101.0,36.87,88.17,22.44,423.0,360.0,305.0,441.0
6028,12090744,430.0,574.0,208.0,101.0,36.87,88.17,22.44,424.0,361.0,304.0,442.0
6029,12090844,429.0,575.0,208.0,101.0,36.87,88.17,22.44,425.0,363.0,305.0,439.0
6030,12090944,430.0,574.0,207.0,102.0,36.87,88.17,22.44,424.0,364.0,307.0,441.0
6031,12091044,429.0,574.0,208.0,102.0,36.87,88.17,22.44,424.0,366.0,299.0,445.0
6032,12091144,429.0,574.0,208.0,102.0,36.87,88.17,22.44,422.0,362.0,302.0,443.0
6033,12091244,429.0,574.0,208.0,101.0,36.87,88.17,22.44,424.0,362.0,306.0,441.0
6034,12091344,429.0,574.0,208.0,102.0,36.87,88.17,22.44,423.0,362.0,305.0,441.0
6035,12091444,430.0,574.0,208.0,101.0,36.87,88.17,22.44,423.0,362.0,304.0,440.0
6036,12091544,430.0,574.0,208.0,101.0,36.87,88.17,22.44,424.0,363.0,304.0,441.0
6037,12091644,429.0,574.0,208.0,102.0,36.87,88.17,22.44,424.0,363.0,306.0,440.0
6038,12091744,430.0,574.0,208.0,101.0,36.87,88.17,22.44,423.0,364.0,307.0,440.0
6039,12091844,430.0,574.0,208.0,102.0,36.87,88.17,22.44,427.0,364.0,309.0,444.0
6040,12091944,430.0,575.0,208.0,101.0,36.87,88.17,22.44,426.0,363.0,306.0,442.0
6041,12092044,430.0,575.0,208.0,102.0,36.87,88.17,22.44,424.0,363.0,305.0,441.0
6042,12092144,430.0,575.0,209.0,102.0,36.87,88.17,22.44,424.0,362.0,303.0,440.0
6043,12092244,430.0,574.0,208.0,102.0,36.87,88.17,22.44,424.0,362.0,302.0,440.0
6044,12092344,430.0,575.0,208.0,102.0,36.87,88.17,22.44,425.0,363.0,305.0,441.0
6045,12092444,430.0,574.0,209.0,102.0,36.87,88.17,22.44,424.0,362.0,305.0,440.0
6046,12092544,430.0,574.0,209.0,102.0,36.87,88.17,22.44,424.0,362.0,305.0,440.0
6047,12092644,430.0,575.0,208.0,102.0,36.87,88.17,22.44,426.0,365.0,309.0,442.0
6048,12092744,429.0,575.0,208.0,102.0,36.87,88.17,22.44,427.0,364.0,307.0,431.0
6049,12092844,430.0,574.0,208.0,102.0,36.87,88.17,22.44,424.0,363.0,305.0,441.0
6050,12092944,429.0,574.0,208.0,102.0,36.87,88.17,22.44,424.0,363.0,304.0,442.0
6051,12093044,429.0,575.0,208.0,102.0,36.87,88.17,22.44,423.0,363.0,304.0,441.0
6052,12093144,430.0,574.0,208.0,102.0,36.87,88.17,22.44,423.0,359.0,305.0,441.0
6053,12093244,430.0,574.0,208.0,102.0,36.87,88.17,22.44,423.0,364.0,305.0,441.0
6054,12093344,430.0,574.0,208.0,101.0,36.87,88.17,22.44,424.0,363.0,304.0,440.0
6055,12093444,430.0,574.0,208.0,102.0,36.87,88.17,22.44,424.0,364.0,307.0,441.0
6056,12093544,429.0,573.0,209.0,101.0,36.87,88.17,22.44,427.0,365.0,308.0,442.0
6057,12093644,429.0,573.0,208.0,102.0,36.87,88.17,22.44,426.0,365.0,307.0,443.0
6058,12093744,430.0,573.0,208.0,102.0,36.87,88.17,22.44,424.0,362.0,305.0,440.0
6059,12093844,430.0,572.0,208.0,102.0,36.87,88.17,22.44,423.0,363.0,305.0,441.0
6060,12093944,429.0,573.0,208.0,102.0,36.87,88.17,22.44,421.0,366.0,304.0,440.0
6061,12094044,429.0,572.0,208.0,101.0,36.87,88.17,22.44,424.0,362.0,305.0,441.0
6062,12094144,429.0,572.0,208.0,102.0,36.87,88.17,22.44,423.0,364.0,305.0,441.0
6063,12094244,429.0,572.0,208.0,102.0,36.87,88.17,22.44,424.0,363.0,302.0,440.0
6064,12094344,429.0,572.0,208.0,101.0,36.87,88.17,22.44,424.0,364.0,306.0,440.0
6065,12094444,429.0,572.0,208.0,102.0,36.87,88.17,22.44,424.0,364.0,308.0,440.0
6066,12094544,429.0,571.0,208.0,102.0,36.87,88.17,22.44,419.0,365.0,296.0,442.0
6067,12094644,428.0,571.0,208.0,102.0,36.87,88.17,22.44,425.0,362.0,307.0,443.0
6068,12094744,429.0,570.0,209.0,102.0,36.87,88.17,22.44,423.0,365.0,304.0,440.0
6069,12094844,429.0,571.0,208.0,102.0,36.87,88.17,22.44,424.0,362.0,305.0,441.0
6070,12094944,429.0,570.0,208.0,102.0,36.87,88.17,22.44,424.0,363.0,305.0,441.0
6071,12095044,429.0,570.0,207.0,102.0,36.87,88.17,22.44,423.0,362.0,304.0,443.0
6072,12095144,429.0,570.0,208.0,102.0,36.87,88.17,22.44,424.0,364.0,305.0,440.0
6073,12095244,429.0,570.0,208.0,102.0,36.87,88.17,22.44,424.0,364.0,304.0,442.0
6074,12095344,429.0,570.0,209.0,102.0,36.87,88.17,22.44,425.0,365.0,305.0,441.0
6075,12095444,429.0,569.0,208.0,102.0,36.87,88.17,22.44,424.0,365.0,306.0,440.0
6076,12095544,429.0,569.0,208.0,102.0,36.87,88.17,22.44,428.0,361.0,306.0,445.0
6077,12095644,429.0,569.0,208.0,102.0,36.87,88.17,22.44,424.0,364.0,304.0,441.0
6078,12095744,429.0,568.0,208.0,103.0,36.87,88.17,22.44,424.0,360.0,306.0,441.0
6079,12095844,429.0,568.0,208.0,103.0,36.87,88.17,22.44,424.0,364.0,305.0,441.0
6080,12095944,429.0,568.0,208.0,102.0,36.87,88.17,22.44,423.0,363.0,304.0,440.0
6081,12096044,428.0,567.0,208.0,102.0,36.87,88.17,22.44,423.0,364.0,305.0,441.0
6082,12096144,429.0,567.0,207.0,102.0,36.87,88.17,22.44,423.0,362.0,307.0,439.0
6083,12096244,428.0,566.0,207.0,102.0,36.87,88.17,22.44,423.0,363.0,305.0,441.0
6084,12096344,428.0,565.0,208.0,102.0,36.87,88.17,22.44,422.0,361.0,305.0,441.0
6085,12096444,429.0,565.0,208.0,102.0,36.87,88.17,22.44,423.0,363.0,306.0,439.0
6086,12096544,429.0,565.0,208.0,103.0,36.87,88.17,22.44,424.0,366.0,306.0,441.0
6087,12096644,428.0,565.0,208.0,102.0,36.87,88.17,22.44,426.0,365.0,308.0,443.0
6088,12096744,428.0,564.0,208.0,102.0,36.87,88.17,22.44,416.0,366.0,308.0,438.0
6089,12096844,429.0,564.0,207.0,102.0,36.87,88.17,22.44,425.0,364.0,306.0,442.0
6090,12096944,428.0,564.0,207.0,102.0,36.87,88.17,22.44,425.0,365.0,306.0,442.0
6091,12097044,427.0,564.0,207.0,102.0,36.87,88.17,22.44,423.0,364.0,302.0,441.0
6092,12097144,428.0,563.0,207.0,103.0,36.87,88.17,22.44,424.0,364.0,305.0,441.0
6093,12097244,428.0,563.0,207.0,102.0,36.87,88.17,22.44,423.0,365.0,304.0,441.0
6094,12097344,427.0,563.0,207.0,102.0,36.87,88.17,22.44,424.0,364.0,304.0,441.0
6095,12097444,427.0,563.0,207.0,101.0,36.87,88.17,22.44,423.0,363.0,304.0,442.0
6096,12097544,428.0,563.0,208.0,102.0,36.87,88.17,22.44,425.0,364.0,304.0,441.0
6097,12097644,427.0,562.0,207.0,102.0,36.87,88.17,22.44,423.0,365.0,305.0,440.0
6098,12097744,428.0,563.0,207.0,102.0,36.87,88.17,22.44,423.0,366.0,306.0,440.0
6099,12097844,427.0,563.0,207.0,102.0,36.87,88.17,22.44,423.0,363.0,307.0,440.0
6100,12097944,428.0,562.0,207.0,102.0,36.87,88.17,22.44,426.0,367.0,308.0,442.0
6101,12098044,427.0,563.0,207.0,102.0,36.87,88.17,22.44,415.0,366.0,306.0,435.0
6102,12098144,428.0,563.0,208.0,102.0,36.87,88.17,22.44,424.0,367.0,305.0,442.0
6103,12098244,427.0,564.0,207.0,102.0,36.87,88.17,22.44,424.0,365.0,305.0,440.0
6104,12098344,427.0,564.0,208.0,102.0,36.87,88.17,22.44,422.0,365.0,305.0,441.0
6105,12098444,428.0,564.0,208.0,102.0,36.87,88.17,22.44,421.0,365.0,305.0,440.0
6106,12098544,428.0,564.0,208.0,103.0,36.87,88.17,22.44,423.0,365.0,305.0,441.0
6107,12098644,427.0,565.0,207.0,102.0,36.87,88.17,22.44,423.0,365.0,305.0,440.0
6108,12098744,428.0,565.0,208.0,102.0,36.87,88.17,22.44,424.0,366.0,304.0,440.0
6109,12098844,428.0,565.0,207.0,102.0,36.87,88.17,22.44,423.0,367.0,307.0,442.0
6110,12098944,428.0,565.0,208.0,102.0,36.87,88.17,22.44,426.0,362.0,305.0,444.0
6111,12099044,428.0,565.0,208.0,102.0,36.87,88.17,22.44,424.0,362.0,306.0,443.0
6112,12099144,428.0,565.0,207.0,103.0,36.87,88.17,22.44,424.0,360.0,305.0,441.0
6113,12099244,428.0,565.0,207.0,102.0,36.87,88.17,22.44,423.0,364.0,305.0,442.0
6114,12099344,428.0,566.0,207.0,103.0,36.87,88.17,22.44,423.0,366.0,304.0,440.0
6115,12099444,428.0,567.0,207.0,102.0,36.87,88.17,22.44,422.0,366.0,302.0,440.0
6116,12099544,429.0,567.0,208.0,102.0,36.87,88.17,22.44,423.0,366.0,304.0,441.0
6117,12099644,428.0,566.0,208.0,102.0,36.87,88.17,22.44,423.0,365.0,305.0,441.0
6118,12099744,428.0,566.0,207.0,103.0,36.87,88.17,22.44,424.0,367.0,306.0,440.0
6119,12099844,428.0,567.0,207.0,102.0,36.87,88.17,22.44,428.0,366.0,308.0,448.0
6120,12099944,428.0,567.0,207.0,102.0,36.87,88.17,22.44,425.0,367.0,304.0,442.0
6121,12100044,428.0,567.0,208.0,102.0,36.87,88.17,22.44,423.0,366.0,304.0,440.0
6122,12100144,427.0,567.0,207.0,102.0,36.87,88.17,22.44,423.0,367.0,305.0,439.0
6123,12100244,428.0,567.0,208.0,103.0,36.87,88.17,22.44,423.0,366.0,304.0,440.0
6124,12100344,428.0,567.0,208.0,102.0,36.87,88.17,22.44,423.0,365.0,305.0,440.0
6125,12100444,428.0,568.0,208.0,102.0,36.87,88.17,22.44,423.0,363.0,306.0,441.0
6126,12100544,428.0,568.0,208.0,102.0,36.87,88.17,22.44,426.0,368.0,309.0,441.0
6127,12100644,428.0,568.0,208.0,102.0,36.87,88.17,22.44,422.0,366.0,308.0,440.0
6128,12100744,428.0,568.0,208.0,103.0,36.87,88.17,22.44,423.0,366.0,305.0,445.0
6129,12100844,428.0,568.0,208.0,103.0,36.87,88.17,22.44,423.0,366.0,304.0,440.0
6130,12100944,428.0,568.0,207.0,103.0,36.87,88.17,22.44,423.0,366.0,304.0,441.0
6131,12101044,428.0,568.0,208.0,102.0,36.87,88.17,22.44,422.0,366.0,305.0,440.0
6132,12101144,428.0,568.0,208.0,102.0,36.87,88.17,22.44,423.0,363.0,305.0,441.0
6133,12101244,427.0,568.0,208.0,102.0,36.87,88.17,22.44,423.0,368.0,306.0,441.0
6134,12101344,428.0,568.0,209.0,103.0,36.87,88.17,22.44,427.0,364.0,307.0,444.0
6135,12101444,428.0,568.0,208.0,102.0,36.87,88.17,22.44,424.0,367.0,306.0,443.0
6136,12101544,428.0,568.0,208.0,103.0,36.87,88.17,22.44,422.0,367.0,305.0,444.0
6137,12101644,428.0,568.0,209.0,103.0,36.87,88.17,22.44,423.0,366.0,303.0,441.0
6138,12101744,428.0,567.0,208.0,102.0,36.87,88.17,22.44,422.0,366.0,305.0,441.0
6139,12101844,427.0,567.0,208.0,102.0,36.87,88.17,22.44,422.0,364.0,304.0,440.0
6140,12101944,427.0,566.0,208.0,102.0,36.87,88.17,22.44,423.0,366.0,304.0,440.0
6141,12102044,427.0,566.0,208.0,102.0,36.87,88.17,22.44,422.0,364.0,304.0,440.0
6142,12102144,428.0,566.0,208.0,103.0,36.87,88.17,22.44,423.0,367.0,303.0,441.0
6143,12102244,428.0,565.0,208.0,102.0,36.87,88.17,22.44,423.0,366.0,306.0,441.0
6144,12102344,428.0,566.0,208.0,103.0,36.87,88.17,22.44,424.0,366.0,307.0,441.0
6145,12102444,427.0,565.0,208.0,103.0,36.87,88.17,22.44,427.0,366.0,307.0,444.0
6146,12102544,427.0,565.0,208.0,103.0,36.87,88.17,22.44,425.0,365.0,307.0,442.0
6147,12102644,428.0,566.0,208.0,103.0,36.87,88.17,22.44,424.0,365.0,307.0,441.0
6148,12102744,427.0,566.0,208.0,102.0,36.87,88.17,22.44,423.0,364.0,304.0,441.0
6149,12102844,428.0,567.0,208.0,103.0,36.87,88.17,22.44,423.0,364.0,302.0,440.0
6150,12102944,427.0,568.0,208.0,103.0,36.87,88.17,22.44,423.0,364.0,305.0,438.0
6151,12103044,427.0,569.0,208.0,103.0,36.87,88.17,22.44,423.0,365.0,305.0,441.0
6152,12103144,428.0,569.0,208.0,103.0,36.87,88.17,22.44,422.0,365.0,305.0,439.0
6153,12103244,428.0,570.0,208.0,102.0,36.87,88.17,22.44,423.0,364.0,305.0,441.0
6154,12103344,428.0,571.0,208.0,102.0,36.87,88.17,22.44,423.0,366.0,307.0,440.0
6155,12103444,428.0,571.0,208.0,102.0,36.87,88.17,22.44,427.0,368.0,305.0,445.0
6156,12103544,428.0,572.0,208.0,103.0,36.87,88.17,22.44,425.0,366.0,307.0,440.0
6157,12103644,428.0,572.0,209.0,102.0,36.87,88.17,22.44,423.0,364.0,304.0,441.0
6158,12103744,428.0,573.0,208.0,103.0,36.87,88.17,22.44,423.0,364.0,306.0,439.0
6159,12103844,428.0,573.0,209.0,103.0,36.87,88.17,22.44,423.0,364.0,305.0,441.0
6160,12103944,428.0,574.0,208.0,103.0,36.87,88.17,22.44,423.0,365.0,304.0,440.0
6161,12104044,428.0,574.0,208.0,102.0,36.87,88.17,22.44,422.0,365.0,305.0,442.0
6162,12104144,428.0,575.0,208.0,103.0,36.87,88.17,22.44,423.0,366.0,305.0,441.0
6163,12104244,429.0,576.0,208.0,102.0,36.87,88.17,22.44,421.0,366.0,306.0,441.0
6164,12104344,428.0,575.0,208.0,103.0,36.87,88.17,22.44,427.0,366.0,308.0,445.0
6165,12104444,428.0,576.0,209.0,102.0,36.87,88.17,22.44,425.0,366.0,306.0,442.0
6166,12104544,429.0,575.0,209.0,103.0,36.87,88.17,22.44,422.0,365.0,302.0,442.0
6167,12104644,429.0,575.0,209.0,103.0,36.87,88.17,22.44,423.0,366.0,305.0,439.0
6168,12104744,429.0,576.0,209.0,103.0,36.87,88.17,22.44,424.0,366.0,304.0,441.0
6169,12104844,429.0,575.0,209.0,102.0,36.87,88.17,22.44,422.0,365.0,306.0,441.0
6170,12104944,429.0,574.0,209.0,103.0,36.87,88.17,22.44,423.0,366.0,306.0,439.0
6171,12105044,428.0,574.0,209.0,102.0,36.87,88.17,22.44,422.0,366.0,306.0,439.0
6172,12105144,429.0,573.0,209.0,103.0,36.87,88.17,22.44,423.0,368.0,308.0,440.0
6173,12105244,428.0,574.0,209.0,103.0,36.87,88.17,22.44,425.0,368.0,307.0,432.0
6174,12105344,429.0,572.0,208.0,103.0,36.87,88.17,22.44,423.0,367.0,305.0,441.0
6175,12105444,429.0,572.0,209.0,102.0,36.87,88.17,22.44,423.0,366.0,304.0,441.0
6176,12105544,428.0,571.0,208.0,102.0,36.87,88.17,22.44,420.0,365.0,304.0,441.0
6177,12105644,429.0,570.0,208.0,103.0,36.87,88.17,22.44,422.0,367.0,305.0,439.0
6178,12105744,430.0,570.0,208.0,102.0,36.87,88.17,22.44,422.0,368.0,304.0,441.0
6179,12105844,429.0,569.0,208.0,102.0,36.87,88.17,22.44,420.0,367.0,305.0,440.0
6180,12105944,429.0,568.0,208.0,102.0,36.87,88.17,22.44,424.0,366.0,304.0,441.0
6181,12106044,429.0,568.0,208.0,102.0,36.87,88.17,22.44,426.0,362.0,304.0,444.0
6182,12106144,429.0,567.0,208.0,102.0,36.87,88.17,22.44,424.0,366.0,305.0,443.0
6183,12106244,429.0,566.0,208.0,102.0,36.87,88.17,22.44,422.0,366.0,304.0,441.0
6184,12106344,429.0,566.0,208.0,102.0,36.87,88.17,22.44,421.0,366.0,305.0,440.0
6185,12106444,428.0,566.0,207.0,101.0,36.87,88.17,22.44,422.0,364.0,305.0,441.0
6186,12106544,429.0,567.0,208.0,102.0,36.87,88.17,22.44,422.0,368.0,306.0,441.0
6187,12106644,429.0,566.0,207.0,102.0,36.87,88.17,22.44,423.0,366.0,305.0,441.0
6188,12106744,428.0,567.0,207.0,102.0,36.87,88.17,22.44,422.0,367.0,305.0,440.0
6189,12106844,429.0,566.0,208.0,102.0,36.87,88.17,22.44,424.0,367.0,308.0,442.0
6190,12106944,429.0,567.0,208.0,102.0,36.87,88.17,22.44,413.0,364.0,307.0,437.0
6191,12107044,429.0,567.0,208.0,102.0,36.87,88.17,22.44,422.0,362.0,305.0,440.0
6192,12107144,429.0,568.0,208.0,102.0,36.87,88.17,22.44,422.0,365.0,303.0,441.0
6193,12107244,429.0,568.0,208.0,102.0,36.87,88.17,22.44,421.0,367.0,306.0,440.0
6194,12107344,429.0,568.0,208.0,102.0,36.87,88.17,22.44,423.0,363.0,302.0,441.0
6195,12107444,429.0,568.0,208.0,102.0,36.87,88.17,22.44,422.0,365.0,306.0,441.0
6196,12107544,429.0,568.0,208.0,102.0,36.87,88.17,22.44,422.0,366.0,305.0,440.0
6197,12107644,429.0,568.0,208.0,101.0,36.87,88.17,22.44,422.0,366.0,307.0,440.0
6198,12107744,429.0,567.0,208.0,102.0,36.87,88.17,22.44,423.0,369.0,307.0,443.0
6199,12107844,429.0,567.0,208.0,102.0,36.87,88.17,22.44,411.0,365.0,307.0,438.0
6200,12107944,429.0,567.0,208.0,102.0,36.87,88.17,22.44,423.0,367.0,304.0,437.0
6201,12108044,429.0,567.0,208.0,101.0,36.87,88.17,22.44,423.0,366.0,305.0,435.0
6202,12108144,429.0,566.0,207.0,102.0,36.87,88.17,22.44,422.0,366.0,304.0,441.0
6203,12108244,429.0,567.0,208.0,102.0,36.87,88.17,22.44,422.0,366.0,302.0,442.0
6204,12108344,428.0,566.0,207.0,102.0,36.87,88.17,22.44,423.0,367.0,305.0,440.0
6205,12108444,429.0,566.0,208.0,102.0,36.87,88.17,22.44,422.0,365.0,307.0,440.0
6206,12108544,429.0,567.0,207.0,102.0,36.87,88.17,22.44,422.0,366.0,305.0,442.0
6207,12108644,428.0,566.0,208.0,102.0,36.87,88.17,22.44,423.0,366.0,305.0,441.0
6208,12108744,428.0,567.0,207.0,103.0,36.87,88.17,22.44,422.0,367.0,305.0,440.0
6209,12108844,429.0,567.0,208.0,103.0,36.87,88.17,22.44,427.0,368.0,306.0,444.0
6210,12108944,429.0,567.0,208.0,102.0,36.87,88.17,22.44,424.0,362.0,304.0,441.0
6211,12109044,428.0,568.0,208.0,102.0,36.87,88.17,22.44,421.0,362.0,302.0,441.0
6212,12109144,428.0,568.0,208.0,102.0,36.87,88.17,22.44,422.0,366.0,303.0,441.0
6213,12109244,429.0,568.0,208.0,102.0,36.87,88.17,22.44,423.0,366.0,304.0,440.0
