,timestamp,voc2,no2,eth,co,temp,pressure,humidity,mq3,mq7,mq9,mq135
4200,1876378,487.0,664.0,311.0,117.0,35.88,88.14,28.71,354.0,268.0,337.0,535.0
4201,1876478,487.0,664.0,312.0,117.0,35.88,88.14,28.71,354.0,268.0,337.0,541.0
4202,1876578,487.0,665.0,313.0,117.0,35.88,88.14,28.71,354.0,269.0,337.0,528.0
4203,1876678,488.0,664.0,312.0,117.0,35.88,88.14,28.71,354.0,268.0,335.0,530.0
4204,1876778,487.0,666.0,312.0,117.0,35.88,88.14,28.71,355.0,270.0,337.0,528.0
4205,1876878,487.0,665.0,312.0,117.0,35.88,88.14,28.71,356.0,269.0,337.0,522.0
4206,1876978,487.0,666.0,312.0,117.0,35.88,88.14,28.71,354.0,269.0,335.0,527.0
4207,1877078,487.0,665.0,312.0,117.0,35.88,88.14,28.71,355.0,270.0,336.0,526.0
4208,1877178,487.0,666.0,313.0,117.0,35.88,88.14,28.71,352.0,269.0,338.0,537.0
4209,1877278,486.0,665.0,312.0,117.0,35.88,88.14,28.71,355.0,270.0,337.0,530.0
4210,1877378,488.0,665.0,312.0,117.0,35.88,88.14,28.71,355.0,269.0,338.0,525.0
4211,1877478,487.0,665.0,312.0,117.0,35.88,88.14,28.71,355.0,270.0,339.0,527.0
4212,1877578,487.0,665.0,312.0,117.0,35.88,88.14,28.71,356.0,271.0,338.0,527.0
4213,1877678,487.0,665.0,313.0,116.0,35.88,88.14,28.71,355.0,272.0,339.0,525.0
4214,1877778,487.0,665.0,312.0,117.0,35.88,88.14,28.71,357.0,274.0,339.0,536.0
4215,1877878,488.0,665.0,313.0,117.0,35.88,88.14,28.71,359.0,273.0,342.0,533.0
4216,1877978,487.0,665.0,313.0,117.0,35.88,88.14,28.71,359.0,271.0,341.0,529.0
4217,1878078,487.0,665.0,313.0,117.0,35.88,88.14,28.71,354.0,275.0,328.0,529.0
4218,1878178,487.0,666.0,313.0,117.0,35.88,88.14,28.71,358.0,273.0,339.0,516.0
4219,1878278,488.0,666.0,313.0,117.0,35.88,88.14,28.71,356.0,271.0,338.0,536.0
4220,1878378,488.0,666.0,313.0,117.0,35.88,88.14,28.71,355.0,269.0,337.0,536.0
4221,1878478,487.0,666.0,313.0,117.0,35.88,88.14,28.71,357.0,268.0,337.0,526.0
4222,1878578,488.0,665.0,313.0,117.0,35.88,88.14,28.71,354.0,268.0,334.0,525.0
4223,1878678,487.0,665.0,314.0,116.0,35.88,88.14,28.71,355.0,269.0,336.0,526.0
4224,1878778,488.0,666.0,313.0,117.0,35.88,88.14,28.71,354.0,268.0,335.0,528.0
4225,1878878,487.0,665.0,313.0,117.0,35.88,88.14,28.71,355.0,269.0,336.0,519.0
4226,1878978,487.0,666.0,313.0,117.0,35.88,88.14,28.71,354.0,269.0,337.0,527.0
4227,1879078,488.0,666.0,314.0,117.0,35.88,88.14,28.71,354.0,270.0,339.0,526.0
4228,1879178,488.0,666.0,314.0,116.0,35.88,88.14,28.71,355.0,267.0,337.0,516.0
4229,1879278,487.0,666.0,313.0,117.0,35.88,88.14,28.71,354.0,268.0,338.0,512.0
4230,1879378,487.0,666.0,314.0,117.0,35.88,88.14,28.71,354.0,268.0,337.0,516.0
4231,1879478,488.0,666.0,314.0,117.0,35.88,88.14,28.71,352.0,269.0,337.0,526.0
4232,1879578,487.0,666.0,314.0,116.0,35.88,88.14,28.71,354.0,268.0,337.0,524.0
