,timestamp,voc2,no2,eth,co,temp,pressure,humidity,mq3,mq7,mq9,mq135
1200,4755104,466.0,642.0,276.0,118.0,35.58,88.09,30.4,336.0,345.0,372.0,437.0
1201,4755204,466.0,643.0,276.0,118.0,35.58,88.09,30.4,338.0,345.0,375.0,437.0
1202,4755304,466.0,642.0,277.0,118.0,35.58,88.09,30.4,337.0,346.0,377.0,440.0
1203,4755404,466.0,642.0,277.0,118.0,35.58,88.09,30.4,343.0,350.0,381.0,441.0
1204,4755504,466.0,641.0,276.0,118.0,35.58,88.09,30.4,338.0,346.0,376.0,438.0
1205,4755604,466.0,641.0,277.0,118.0,35.58,88.09,30.4,337.0,345.0,373.0,437.0
1206,4755704,466.0,642.0,276.0,119.0,35.58,88.09,30.4,336.0,344.0,375.0,438.0
1207,4755804,466.0,641.0,276.0,119.0,35.58,88.09,30.4,336.0,344.0,376.0,438.0
1208,4755904,465.0,642.0,276.0,119.0,35.58,88.09,30.4,340.0,347.0,377.0,440.0
1209,4756004,466.0,642.0,277.0,118.0,35.58,88.09,30.4,342.0,349.0,380.0,440.0
1210,4756104,465.0,642.0,275.0,118.0,35.58,88.09,30.4,337.0,345.0,374.0,438.0
1211,4756204,466.0,641.0,276.0,118.0,35.58,88.09,30.4,336.0,344.0,375.0,435.0
1212,4756304,466.0,642.0,276.0,118.0,35.58,88.09,30.4,337.0,346.0,375.0,437.0
1213,4756404,466.0,642.0,276.0,118.0,35.58,88.09,30.4,338.0,345.0,374.0,438.0
1214,4756504,466.0,642.0,276.0,118.0,35.58,88.09,30.4,330.0,349.0,367.0,438.0
1215,4756604,466.0,642.0,276.0,118.0,35.58,88.09,30.4,339.0,347.0,377.0,438.0
1216,4756704,466.0,642.0,276.0,118.0,35.58,88.09,30.4,337.0,344.0,376.0,437.0
1217,4756804,466.0,642.0,276.0,118.0,35.58,88.09,30.4,337.0,345.0,376.0,437.0
1218,4756904,466.0,641.0,275.0,118.0,35.58,88.09,30.4,337.0,345.0,375.0,436.0
1219,4757004,466.0,641.0,276.0,118.0,35.58,88.09,30.4,338.0,344.0,376.0,438.0
1220,4757104,465.0,641.0,276.0,118.0,35.58,88.09,30.4,344.0,348.0,381.0,443.0
1221,4757204,466.0,642.0,276.0,118.0,35.58,88.09,30.4,338.0,347.0,375.0,437.0
1222,4757304,465.0,641.0,275.0,118.0,35.58,88.09,30.4,336.0,344.0,376.0,437.0
1223,4757404,466.0,641.0,276.0,118.0,35.58,88.09,30.4,337.0,344.0,376.0,435.0
1224,4757504,465.0,641.0,276.0,118.0,35.58,88.09,30.4,337.0,345.0,376.0,437.0
1225,4757604,466.0,641.0,276.0,118.0,35.58,88.09,30.4,338.0,346.0,374.0,436.0
1226,4757704,465.0,641.0,276.0,118.0,35.58,88.09,30.4,340.0,348.0,378.0,440.0
1227,4757804,466.0,641.0,276.0,118.0,35.58,88.09,30.4,341.0,348.0,379.0,440.0
1228,4757904,466.0,642.0,275.0,118.0,35.58,88.09,30.4,337.0,345.0,376.0,437.0
1229,4758004,466.0,642.0,276.0,118.0,35.58,88.09,30.4,336.0,345.0,375.0,436.0
1230,4758104,465.0,642.0,276.0,118.0,35.58,88.09,30.4,335.0,346.0,375.0,437.0
1231,4758204,466.0,641.0,276.0,118.0,35.58,88.09,30.4,338.0,346.0,376.0,439.0
1232,4758304,466.0,641.0,276.0,118.0,35.58,88.09,30.4,345.0,348.0,381.0,444.0
1233,4758404,466.0,642.0,276.0,119.0,35.58,88.09,30.4,338.0,345.0,377.0,438.0
1234,4758504,466.0,643.0,276.0,118.0,35.58,88.09,30.4,337.0,343.0,375.0,438.0
1235,4758604,466.0,643.0,276.0,118.0,35.58,88.09,30.4,337.0,344.0,373.0,437.0
1236,4758704,466.0,643.0,276.0,118.0,35.58,88.09,30.4,336.0,344.0,373.0,437.0
1237,4758804,466.0,642.0,276.0,118.0,35.58,88.09,30.4,340.0,347.0,378.0,440.0
1238,4758904,466.0,642.0,275.0,118.0,35.58,88.09,30.4,342.0,351.0,381.0,440.0
1239,4759004,466.0,643.0,276.0,118.0,35.58,88.09,30.4,338.0,344.0,378.0,438.0
1240,4759104,466.0,644.0,276.0,118.0,35.58,88.09,30.4,338.0,347.0,376.0,438.0
1241,4759204,466.0,644.0,276.0,118.0,35.58,88.09,30.4,337.0,343.0,377.0,437.0
1242,4759304,466.0,643.0,276.0,118.0,35.58,88.09,30.4,337.0,345.0,376.0,435.0
1243,4759404,465.0,643.0,276.0,118.0,35.58,88.09,30.4,338.0,347.0,377.0,437.0
1244,4759504,466.0,644.0,276.0,118.0,35.58,88.09,30.4,317.0,350.0,380.0,435.0
1245,4759604,466.0,644.0,276.0,118.0,35.58,88.09,30.4,342.0,350.0,380.0,440.0
1246,4759704,466.0,643.0,276.0,118.0,35.58,88.09,30.4,337.0,348.0,377.0,438.0
1247,4759804,466.0,643.0,276.0,118.0,35.58,88.09,30.4,338.0,345.0,376.0,438.0
1248,4759904,466.0,643.0,276.0,118.0,35.58,88.09,30.4,336.0,346.0,376.0,437.0
1249,4760004,466.0,644.0,276.0,118.0,35.58,88.09,30.4,337.0,345.0,375.0,438.0
1250,4760104,466.0,643.0,276.0,118.0,35.58,88.09,30.4,337.0,345.0,374.0,438.0
1251,4760204,466.0,644.0,276.0,118.0,35.58,88.09,30.4,337.0,347.0,377.0,439.0
1252,4760304,466.0,644.0,276.0,118.0,35.58,88.09,30.4,342.0,339.0,375.0,444.0
1253,4760404,466.0,644.0,276.0,118.0,35.58,88.09,30.4,339.0,348.0,379.0,440.0
1254,4760504,466.0,644.0,276.0,119.0,35.58,88.09,30.4,338.0,344.0,377.0,438.0
1255,4760604,466.0,644.0,277.0,118.0,35.58,88.09,30.4,338.0,346.0,376.0,437.0
1256,4760704,465.0,644.0,276.0,118.0,35.58,88.09,30.4,336.0,345.0,373.0,437.0
1257,4760804,466.0,645.0,276.0,118.0,35.58,88.09,30.4,336.0,344.0,376.0,438.0
1258,4760904,466.0,645.0,276.0,118.0,35.58,88.09,30.4,338.0,346.0,376.0,439.0
1259,4761004,466.0,645.0,276.0,118.0,35.58,88.09,30.4,339.0,347.0,376.0,439.0
1260,4761104,466.0,645.0,276.0,119.0,35.58,88.09,30.4,344.0,343.0,379.0,444.0
1261,4761204,467.0,645.0,276.0,118.0,35.58,88.09,30.4,340.0,349.0,379.0,440.0
1262,4761304,466.0,645.0,276.0,119.0,35.58,88.09,30.4,337.0,347.0,377.0,438.0
1263,4761404,466.0,645.0,277.0,119.0,35.58,88.09,30.4,337.0,345.0,377.0,438.0
1264,4761504,466.0,645.0,276.0,118.0,35.58,88.09,30.4,337.0,344.0,376.0,437.0
1265,4761604,466.0,646.0,277.0,118.0,35.58,88.09,30.4,337.0,346.0,375.0,438.0
1266,4761704,466.0,646.0,276.0,119.0,35.58,88.09,30.4,337.0,344.0,376.0,438.0
1267,4761804,466.0,645.0,277.0,118.0,35.58,88.09,30.4,336.0,347.0,376.0,439.0
