,timestamp,voc2,no2,eth,co,temp,pressure,humidity,mq3,mq7,mq9,mq135
5400,2047045,493.0,589.0,257.0,104.0,35.81,88.39,30.5,545.0,394.0,366.0,509.0
5401,2047145,493.0,590.0,256.0,105.0,35.81,88.39,30.5,542.0,391.0,362.0,510.0
5402,2047245,493.0,589.0,256.0,105.0,35.81,88.39,30.5,542.0,390.0,362.0,508.0
5403,2047345,492.0,590.0,256.0,104.0,35.81,88.39,30.5,544.0,385.0,356.0,507.0
5404,2047445,493.0,590.0,256.0,104.0,35.81,88.39,30.5,543.0,391.0,362.0,509.0
5405,2047545,492.0,590.0,257.0,105.0,35.81,88.39,30.5,541.0,391.0,359.0,507.0
5406,2047645,492.0,590.0,256.0,104.0,35.81,88.39,30.5,544.0,393.0,364.0,502.0
5407,2047745,493.0,590.0,256.0,105.0,35.81,88.39,30.5,542.0,391.0,360.0,499.0
5408,2047845,493.0,589.0,257.0,104.0,35.81,88.39,30.5,542.0,392.0,364.0,496.0
5409,2047945,493.0,589.0,257.0,104.0,35.81,88.39,30.5,542.0,392.0,363.0,498.0
5410,2048045,493.0,590.0,256.0,105.0,35.81,88.39,30.5,542.0,391.0,362.0,498.0
5411,2048145,493.0,589.0,257.0,104.0,35.81,88.39,30.5,543.0,395.0,364.0,498.0
5412,2048245,493.0,589.0,257.0,104.0,35.81,88.39,30.5,543.0,391.0,361.0,498.0
5413,2048345,493.0,589.0,256.0,104.0,35.81,88.39,30.5,542.0,391.0,362.0,498.0
5414,2048445,492.0,588.0,256.0,105.0,35.81,88.39,30.5,543.0,393.0,363.0,498.0
5415,2048545,493.0,588.0,256.0,105.0,35.81,88.39,30.5,542.0,388.0,362.0,498.0
5416,2048645,492.0,587.0,256.0,105.0,35.81,88.39,30.5,542.0,392.0,365.0,499.0
5417,2048745,493.0,588.0,255.0,104.0,35.81,88.39,30.5,542.0,392.0,362.0,497.0
5418,2048845,493.0,588.0,256.0,104.0,35.81,88.39,30.5,542.0,392.0,363.0,496.0
5419,2048945,493.0,587.0,256.0,104.0,35.81,88.39,30.5,544.0,391.0,362.0,498.0
5420,2049045,493.0,588.0,256.0,105.0,35.81,88.39,30.5,542.0,390.0,362.0,498.0
5421,2049145,493.0,588.0,256.0,105.0,35.81,88.39,30.5,545.0,395.0,367.0,500.0
5422,2049245,492.0,588.0,256.0,105.0,35.81,88.39,30.5,542.0,390.0,362.0,509.0
5423,2049345,493.0,588.0,256.0,105.0,35.81,88.39,30.5,543.0,393.0,363.0,509.0
5424,2049445,492.0,588.0,255.0,104.0,35.81,88.39,30.5,543.0,391.0,360.0,511.0
5425,2049545,492.0,588.0,256.0,104.0,35.81,88.39,30.5,541.0,392.0,361.0,510.0
5426,2049645,493.0,588.0,256.0,104.0,35.81,88.39,30.5,547.0,386.0,361.0,515.0
5427,2049745,492.0,588.0,256.0,104.0,35.81,88.39,30.5,542.0,391.0,362.0,514.0
5428,2049845,494.0,589.0,256.0,104.0,35.81,88.39,30.5,542.0,390.0,363.0,516.0
5429,2049945,493.0,589.0,256.0,104.0,35.81,88.39,30.5,543.0,391.0,362.0,522.0
5430,2050045,493.0,588.0,256.0,104.0,35.81,88.39,30.5,542.0,390.0,361.0,531.0
5431,2050145,493.0,588.0,256.0,104.0,35.81,88.39,30.5,544.0,395.0,364.0,527.0
5432,2050245,493.0,588.0,256.0,105.0,35.81,88.39,30.5,543.0,391.0,361.0,531.0
5433,2050345,492.0,588.0,256.0,104.0,35.81,88.39,30.5,542.0,391.0,362.0,521.0
5434,2050445,493.0,588.0,256.0,104.0,35.81,88.39,30.5,543.0,392.0,364.0,516.0
5435,2050545,493.0,588.0,256.0,104.0,35.81,88.39,30.5,542.0,390.0,360.0,523.0
5436,2050645,493.0,587.0,255.0,104.0,35.81,88.39,30.5,543.0,391.0,362.0,527.0
5437,2050745,493.0,587.0,256.0,105.0,35.81,88.39,30.5,544.0,393.0,362.0,528.0
5438,2050845,492.0,586.0,256.0,104.0,35.81,88.39,30.5,541.0,391.0,361.0,526.0
5439,2050945,493.0,586.0,255.0,105.0,35.81,88.39,30.5,542.0,391.0,361.0,529.0
5440,2051045,493.0,586.0,255.0,104.0,35.81,88.39,30.5,543.0,391.0,361.0,549.0
5441,2051145,493.0,586.0,255.0,104.0,35.81,88.39,30.5,543.0,391.0,361.0,535.0
5442,2051245,492.0,586.0,255.0,104.0,35.81,88.39,30.5,542.0,390.0,363.0,545.0
5443,2051345,493.0,586.0,256.0,104.0,35.81,88.39,30.5,544.0,393.0,363.0,537.0
5444,2051445,493.0,586.0,255.0,104.0,35.81,88.39,30.5,543.0,392.0,361.0,535.0
5445,2051545,492.0,586.0,255.0,104.0,35.81,88.39,30.5,540.0,391.0,361.0,535.0
5446,2051645,493.0,585.0,255.0,105.0,35.81,88.39,30.5,543.0,394.0,366.0,570.0
5447,2051745,493.0,585.0,256.0,104.0,35.81,88.39,30.5,542.0,391.0,361.0,533.0
5448,2051845,493.0,586.0,255.0,104.0,35.81,88.39,30.5,542.0,391.0,360.0,532.0
5449,2051945,493.0,586.0,255.0,105.0,35.81,88.39,30.5,542.0,391.0,360.0,545.0
5450,2052045,492.0,585.0,255.0,104.0,35.81,88.39,30.5,544.0,393.0,364.0,539.0
5451,2052145,494.0,586.0,256.0,104.0,35.81,88.39,30.5,540.0,394.0,361.0,542.0
5452,2052245,493.0,586.0,256.0,104.0,35.81,88.39,30.5,542.0,390.0,360.0,540.0
5453,2052345,493.0,585.0,255.0,104.0,35.81,88.39,30.5,541.0,392.0,363.0,542.0
5454,2052445,493.0,587.0,254.0,104.0,35.81,88.39,30.5,544.0,392.0,363.0,539.0
5455,2052545,493.0,587.0,255.0,104.0,35.81,88.39,30.5,542.0,388.0,361.0,578.0
5456,2052645,493.0,587.0,255.0,105.0,35.81,88.39,30.5,542.0,391.0,361.0,533.0
5457,2052745,493.0,587.0,255.0,104.0,35.81,88.39,30.5,542.0,393.0,364.0,533.0
5458,2052845,493.0,587.0,255.0,104.0,35.81,88.39,30.5,542.0,390.0,362.0,531.0
5459,2052945,494.0,587.0,255.0,104.0,35.81,88.39,30.5,542.0,390.0,361.0,534.0
5460,2053045,493.0,588.0,255.0,104.0,35.81,88.39,30.5,542.0,391.0,359.0,537.0
