,timestamp,voc2,no2,eth,co,temp,pressure,humidity,mq3,mq7,mq9,mq135
0,1559976,460.0,606.0,268.0,106.0,35.95,87.84,29.01,503.0,453.0,360.0,469.0
1,1560076,461.0,607.0,268.0,105.0,35.95,87.84,29.01,503.0,452.0,363.0,469.0
2,1560176,461.0,606.0,269.0,105.0,35.95,87.84,29.01,504.0,452.0,360.0,468.0
3,1560276,461.0,607.0,268.0,105.0,35.95,87.84,29.01,503.0,452.0,363.0,470.0
4,1560376,461.0,606.0,268.0,105.0,35.95,87.84,29.01,506.0,456.0,367.0,473.0
5,1560476,461.0,607.0,268.0,105.0,35.95,87.84,29.01,504.0,454.0,363.0,469.0
6,1560576,461.0,606.0,269.0,106.0,35.95,87.84,29.01,503.0,452.0,362.0,470.0
7,1560676,461.0,607.0,269.0,105.0,35.95,87.84,29.01,503.0,451.0,362.0,469.0
8,1560776,461.0,607.0,268.0,106.0,35.95,87.84,29.01,504.0,453.0,362.0,468.0
9,1560876,461.0,606.0,268.0,106.0,35.95,87.84,29.01,504.0,453.0,360.0,469.0
10,1560976,461.0,606.0,269.0,106.0,35.95,87.84,29.01,508.0,452.0,364.0,473.0
11,1561076,461.0,607.0,269.0,106.0,35.95,87.84,29.01,504.0,452.0,363.0,470.0
12,1561176,461.0,606.0,268.0,106.0,35.95,87.84,29.01,503.0,452.0,363.0,466.0
13,1561276,461.0,607.0,268.0,106.0,35.95,87.84,29.01,502.0,449.0,362.0,469.0
14,1561376,461.0,607.0,269.0,107.0,35.95,87.84,29.01,503.0,452.0,363.0,468.0
15,1561476,461.0,607.0,268.0,106.0,35.95,87.84,29.01,504.0,453.0,362.0,469.0
16,1561576,461.0,607.0,269.0,106.0,35.95,87.84,29.01,492.0,454.0,365.0,464.0
17,1561676,461.0,606.0,268.0,106.0,35.95,87.84,29.01,505.0,455.0,363.0,469.0
18,1561776,461.0,606.0,269.0,107.0,35.95,87.84,29.01,505.0,453.0,363.0,468.0
19,1561876,461.0,606.0,269.0,107.0,35.95,87.84,29.01,502.0,450.0,362.0,469.0
20,1561976,461.0,606.0,269.0,107.0,35.95,87.84,29.01,501.0,454.0,362.0,468.0
21,1562076,462.0,607.0,269.0,107.0,35.95,87.84,29.01,503.0,451.0,363.0,469.0
22,1562176,461.0,606.0,269.0,107.0,35.95,87.84,29.01,501.0,454.0,362.0,469.0
23,1562276,462.0,606.0,269.0,107.0,35.95,87.84,29.01,507.0,447.0,364.0,474.0
24,1562376,462.0,606.0,269.0,108.0,35.95,87.84,29.01,504.0,455.0,364.0,469.0
25,1562476,461.0,606.0,269.0,108.0,35.95,87.84,29.01,504.0,453.0,363.0,470.0
26,1562576,461.0,607.0,268.0,108.0,35.95,87.84,29.01,504.0,453.0,362.0,469.0
27,1562676,461.0,607.0,269.0,108.0,35.95,87.84,29.01,504.0,452.0,360.0,469.0
28,1562776,462.0,607.0,269.0,108.0,35.95,87.84,29.01,502.0,451.0,362.0,468.0
29,1562876,461.0,607.0,269.0,108.0,35.95,87.84,29.01,503.0,452.0,364.0,471.0
30,1562976,462.0,606.0,269.0,109.0,35.95,87.84,29.01,502.0,457.0,365.0,471.0
31,1563076,462.0,607.0,268.0,108.0,35.95,87.84,29.01,502.0,454.0,363.0,469.0
32,1563176,462.0,607.0,269.0,109.0,35.95,87.84,29.01,504.0,453.0,362.0,468.0
33,1563276,462.0,606.0,268.0,108.0,35.95,87.84,29.01,504.0,453.0,357.0,468.0
34,1563376,461.0,607.0,269.0,108.0,35.95,87.84,29.01,504.0,453.0,363.0,469.0
35,1563476,462.0,607.0,270.0,109.0,35.95,87.84,29.01,505.0,453.0,365.0,471.0
36,1563576,461.0,607.0,269.0,108.0,35.95,87.84,29.01,504.0,455.0,365.0,469.0
37,1563676,461.0,607.0,270.0,108.0,35.95,87.84,29.01,503.0,452.0,363.0,469.0
38,1563776,461.0,607.0,269.0,109.0,35.95,87.84,29.01,504.0,452.0,363.0,469.0
39,1563876,462.0,607.0,269.0,109.0,35.95,87.84,29.01,501.0,453.0,362.0,468.0
40,1563976,461.0,607.0,269.0,109.0,35.95,87.84,29.01,505.0,453.0,364.0,470.0
41,1564076,462.0,607.0,269.0,108.0,35.95,87.84,29.01,504.0,455.0,365.0,469.0
42,1564176,461.0,607.0,269.0,109.0,35.95,87.84,29.01,503.0,453.0,363.0,468.0
43,1564276,461.0,607.0,269.0,108.0,35.95,87.84,29.01,503.0,453.0,360.0,468.0
44,1564376,461.0,607.0,269.0,109.0,35.95,87.84,29.01,503.0,451.0,362.0,469.0
45,1564476,462.0,607.0,269.0,109.0,35.95,87.84,29.01,504.0,453.0,361.0,469.0
46,1564576,462.0,606.0,269.0,109.0,35.95,87.84,29.01,505.0,456.0,366.0,469.0
47,1564676,462.0,607.0,269.0,109.0,35.95,87.84,29.01,504.0,454.0,362.0,468.0
48,1564776,462.0,607.0,269.0,109.0,35.95,87.84,29.01,502.0,451.0,363.0,468.0
49,1564876,461.0,607.0,270.0,109.0,35.95,87.84,29.01,500.0,451.0,362.0,468.0
50,1564976,462.0,607.0,269.0,109.0,35.95,87.84,29.01,504.0,453.0,361.0,469.0
51,1565076,461.0,606.0,269.0,109.0,35.95,87.84,29.01,498.0,456.0,355.0,470.0
52,1565176,462.0,607.0,269.0,108.0,35.95,87.84,29.01,503.0,455.0,365.0,469.0
53,1565276,461.0,607.0,269.0,109.0,35.95,87.84,29.01,504.0,453.0,362.0,469.0
54,1565376,461.0,606.0,269.0,108.0,35.95,87.84,29.01,501.0,454.0,362.0,469.0
55,1565476,461.0,606.0,269.0,109.0,35.95,87.84,29.01,504.0,454.0,362.0,468.0
56,1565576,461.0,606.0,269.0,109.0,35.95,87.84,29.01,503.0,453.0,360.0,468.0
57,1565676,461.0,606.0,269.0,109.0,35.95,87.84,29.01,501.0,455.0,354.0,471.0
58,1565776,461.0,606.0,268.0,109.0,35.95,87.84,29.01,504.0,454.0,365.0,468.0
59,1565876,461.0,605.0,268.0,109.0,35.95,87.84,29.01,502.0,451.0,362.0,468.0
60,1565976,461.0,606.0,268.0,109.0,35.95,87.84,29.01,504.0,453.0,362.0,468.0
61,1566076,461.0,605.0,268.0,109.0,35.95,87.84,29.01,501.0,450.0,362.0,468.0
62,1566176,461.0,606.0,269.0,109.0,35.95,87.84,29.01,504.0,453.0,363.0,467.0
63,1566276,461.0,606.0,269.0,109.0,35.95,87.84,29.01,498.0,457.0,354.0,469.0
64,1566376,460.0,605.0,269.0,108.0,35.95,87.84,29.01,503.0,455.0,366.0,468.0
65,1566476,461.0,606.0,269.0,108.0,35.95,87.84,29.01,504.0,454.0,362.0,469.0
66,1566576,461.0,605.0,269.0,108.0,35.95,87.84,29.01,503.0,453.0,362.0,468.0
67,1566676,461.0,605.0,269.0,108.0,35.95,87.84,29.01,504.0,453.0,363.0,467.0
68,1566776,461.0,605.0,269.0,109.0,35.95,87.84,29.01,501.0,454.0,362.0,469.0
69,1566876,461.0,606.0,269.0,109.0,35.95,87.84,29.01,505.0,454.0,364.0,469.0
70,1566976,461.0,606.0,268.0,108.0,35.95,87.84,29.01,506.0,456.0,365.0,471.0
71,1567076,460.0,605.0,269.0,108.0,35.95,87.84,29.01,504.0,455.0,364.0,468.0
72,1567176,462.0,605.0,269.0,109.0,35.95,87.84,29.01,502.0,454.0,363.0,468.0
73,1567276,461.0,605.0,268.0,109.0,35.95,87.84,29.01,504.0,454.0,362.0,468.0
74,1567376,461.0,605.0,269.0,109.0,35.95,87.84,29.01,500.0,453.0,362.0,468.0
75,1567476,460.0,605.0,268.0,109.0,35.95,87.84,29.01,504.0,453.0,363.0,469.0
76,1567576,461.0,605.0,268.0,108.0,35.95,87.84,29.01,504.0,442.0,358.0,474.0
77,1567676,461.0,605.0,268.0,108.0,35.95,87.84,29.01,504.0,455.0,363.0,469.0
78,1567776,461.0,605.0,268.0,108.0,35.95,87.84,29.01,505.0,454.0,362.0,467.0
79,1567876,460.0,605.0,269.0,108.0,35.95,87.84,29.01,503.0,453.0,363.0,467.0
80,1567976,461.0,605.0,269.0,108.0,35.95,87.84,29.01,503.0,453.0,361.0,467.0
81,1568076,461.0,605.0,268.0,109.0,35.95,87.84,29.01,504.0,454.0,362.0,468.0
82,1568176,461.0,605.0,269.0,108.0,35.95,87.84,29.01,508.0,456.0,367.0,472.0
83,1568276,461.0,605.0,268.0,108.0,35.95,87.84,29.01,504.0,454.0,364.0,467.0
84,1568376,460.0,605.0,269.0,108.0,35.95,87.84,29.01,503.0,453.0,363.0,468.0
85,1568476,461.0,605.0,268.0,108.0,35.95,87.84,29.01,502.0,452.0,363.0,468.0
86,1568576,461.0,605.0,268.0,108.0,35.95,87.84,29.01,503.0,452.0,362.0,468.0
87,1568676,461.0,604.0,269.0,108.0,35.95,87.84,29.01,505.0,455.0,365.0,470.0
88,1568776,461.0,605.0,268.0,107.0,35.95,87.84,29.01,505.0,455.0,365.0,469.0
89,1568876,461.0,605.0,269.0,108.0,35.95,87.84,29.01,504.0,454.0,362.0,468.0
90,1568976,461.0,605.0,268.0,108.0,35.95,87.84,29.01,504.0,453.0,363.0,468.0
91,1569076,461.0,605.0,268.0,108.0,35.95,87.84,29.01,502.0,454.0,362.0,468.0
92,1569176,461.0,605.0,268.0,108.0,35.95,87.84,29.01,504.0,453.0,361.0,469.0
93,1569276,461.0,604.0,268.0,108.0,35.95,87.84,29.01,506.0,457.0,368.0,472.0
94,1569376,461.0,605.0,269.0,107.0,35.95,87.84,29.01,504.0,453.0,364.0,467.0
95,1569476,461.0,605.0,268.0,108.0,35.95,87.84,29.01,504.0,453.0,363.0,468.0
96,1569576,461.0,604.0,268.0,108.0,35.95,87.84,29.01,504.0,454.0,360.0,467.0
97,1569676,461.0,604.0,268.0,108.0,35.95,87.84,29.01,502.0,454.0,362.0,467.0
98,1569776,460.0,604.0,268.0,107.0,35.95,87.84,29.01,503.0,456.0,364.0,470.0
99,1569876,461.0,604.0,269.0,107.0,35.95,87.84,29.01,506.0,456.0,365.0,469.0
100,1569976,461.0,604.0,268.0,108.0,35.95,87.84,29.01,504.0,454.0,362.0,470.0
101,1570076,461.0,604.0,269.0,107.0,35.95,87.84,29.01,503.0,453.0,361.0,467.0
102,1570176,461.0,604.0,269.0,107.0,35.95,87.84,29.01,503.0,453.0,363.0,466.0
103,1570276,461.0,604.0,268.0,108.0,35.95,87.84,29.01,504.0,454.0,363.0,466.0
104,1570376,461.0,604.0,268.0,107.0,35.95,87.84,29.01,505.0,455.0,366.0,472.0
105,1570476,461.0,604.0,268.0,107.0,35.95,87.84,29.01,502.0,453.0,365.0,469.0
106,1570576,460.0,604.0,269.0,107.0,35.95,87.84,29.01,504.0,454.0,363.0,468.0
107,1570676,461.0,604.0,269.0,108.0,35.95,87.84,29.01,504.0,454.0,361.0,469.0
108,1570776,461.0,604.0,268.0,107.0,35.95,87.84,29.01,503.0,453.0,362.0,469.0
109,1570876,461.0,604.0,268.0,107.0,35.95,87.84,29.01,504.0,453.0,363.0,467.0
110,1570976,461.0,604.0,268.0,107.0,35.95,87.84,29.01,508.0,453.0,364.0,473.0
111,1571076,460.0,604.0,269.0,107.0,35.95,87.84,29.01,503.0,455.0,362.0,468.0
112,1571176,461.0,604.0,268.0,107.0,35.95,87.84,29.01,504.0,454.0,362.0,468.0
113,1571276,461.0,604.0,268.0,107.0,35.95,87.84,29.01,504.0,453.0,361.0,467.0
114,1571376,461.0,604.0,268.0,107.0,35.95,87.84,29.01,501.0,451.0,363.0,466.0
115,1571476,460.0,604.0,269.0,107.0,35.95,87.84,29.01,505.0,454.0,364.0,470.0
116,1571576,461.0,604.0,268.0,107.0,35.95,87.84,29.01,503.0,457.0,367.0,471.0
117,1571676,460.0,604.0,269.0,108.0,35.95,87.84,29.01,504.0,455.0,363.0,468.0
118,1571776,460.0,604.0,268.0,107.0,35.95,87.84,29.01,504.0,454.0,362.0,468.0
119,1571876,460.0,605.0,268.0,107.0,35.95,87.84,29.01,504.0,454.0,362.0,468.0
120,1571976,461.0,604.0,269.0,107.0,35.95,87.84,29.01,503.0,453.0,362.0,468.0
121,1572076,461.0,605.0,269.0,107.0,35.95,87.84,29.01,506.0,455.0,364.0,470.0
122,1572176,461.0,605.0,269.0,107.0,35.95,87.84,29.01,505.0,455.0,365.0,468.0
123,1572276,460.0,604.0,268.0,107.0,35.95,87.84,29.01,504.0,453.0,363.0,469.0
124,1572376,460.0,605.0,268.0,107.0,35.95,87.84,29.01,504.0,452.0,361.0,469.0
125,1572476,460.0,604.0,268.0,107.0,35.95,87.84,29.01,502.0,450.0,362.0,470.0
126,1572576,461.0,605.0,269.0,107.0,35.95,87.84,29.01,503.0,452.0,363.0,469.0
127,1572676,461.0,605.0,269.0,107.0,35.95,87.84,29.01,507.0,455.0,366.0,471.0
128,1572776,460.0,604.0,268.0,107.0,35.95,87.84,29.01,504.0,453.0,364.0,467.0
129,1572876,460.0,605.0,268.0,107.0,35.95,87.84,29.01,503.0,451.0,362.0,468.0
130,1572976,461.0,604.0,269.0,107.0,35.95,87.84,29.01,503.0,453.0,362.0,468.0
131,1573076,461.0,604.0,268.0,107.0,35.95,87.84,29.01,504.0,453.0,362.0,467.0
132,1573176,461.0,604.0,268.0,107.0,35.95,87.84,29.01,504.0,456.0,365.0,471.0
