,timestamp,voc2,no2,eth,co,temp,pressure,humidity,mq3,mq7,mq9,mq135
6000,5529363,415.0,582.0,228.0,121.0,33.56,87.96,34.1,467.0,400.0,369.0,495.0
6001,5529463,415.0,582.0,229.0,121.0,33.56,87.96,34.1,467.0,402.0,373.0,495.0
6002,5529563,415.0,581.0,228.0,121.0,33.56,87.96,34.1,453.0,403.0,374.0,494.0
6003,5529663,415.0,581.0,228.0,121.0,33.56,87.96,34.1,467.0,400.0,369.0,496.0
6004,5529763,414.0,581.0,228.0,120.0,33.56,87.96,34.1,467.0,400.0,368.0,494.0
6005,5529863,415.0,582.0,228.0,120.0,33.56,87.96,34.1,466.0,400.0,368.0,495.0
6006,5529963,414.0,582.0,229.0,120.0,33.56,87.96,34.1,464.0,400.0,370.0,495.0
6007,5530063,415.0,581.0,229.0,119.0,33.56,87.96,34.1,467.0,401.0,372.0,494.0
6008,5530163,415.0,582.0,228.0,119.0,33.56,87.96,34.1,469.0,405.0,373.0,497.0
6009,5530263,415.0,582.0,228.0,119.0,33.56,87.96,34.1,469.0,401.0,371.0,497.0
6010,5530363,415.0,582.0,228.0,118.0,33.56,87.96,34.1,467.0,400.0,369.0,495.0
6011,5530463,415.0,582.0,229.0,118.0,33.56,87.96,34.1,467.0,400.0,370.0,495.0
6012,5530563,415.0,581.0,228.0,119.0,33.56,87.96,34.1,468.0,400.0,370.0,495.0
6013,5530663,414.0,581.0,229.0,119.0,33.56,87.96,34.1,467.0,400.0,369.0,495.0
6014,5530763,414.0,582.0,228.0,118.0,33.56,87.96,34.1,468.0,401.0,371.0,496.0
6015,5530863,415.0,582.0,228.0,117.0,33.56,87.96,34.1,470.0,402.0,373.0,498.0
6016,5530963,415.0,582.0,228.0,118.0,33.56,87.96,34.1,469.0,402.0,373.0,498.0
6017,5531063,415.0,581.0,228.0,117.0,33.56,87.96,34.1,467.0,400.0,368.0,495.0
6018,5531163,414.0,581.0,228.0,117.0,33.56,87.96,34.1,467.0,400.0,370.0,495.0
6019,5531263,414.0,582.0,228.0,117.0,33.56,87.96,34.1,466.0,400.0,370.0,494.0
6020,5531363,415.0,582.0,228.0,116.0,33.56,87.96,34.1,464.0,400.0,370.0,496.0
6021,5531463,414.0,581.0,227.0,117.0,33.56,87.96,34.1,465.0,401.0,371.0,495.0
