,timestamp,voc2,no2,eth,co,temp,pressure,humidity,mq3,mq7,mq9,mq135
3600,487760,493.0,560.0,246.0,109.0,34.93,88.07,26.48,393.0,335.0,331.0,477.0
3601,487860,494.0,561.0,247.0,110.0,34.93,88.07,26.48,392.0,335.0,330.0,476.0
3602,487960,494.0,559.0,246.0,109.0,34.93,88.07,26.48,390.0,332.0,328.0,474.0
3603,488060,493.0,559.0,246.0,108.0,34.93,88.07,26.48,389.0,330.0,325.0,475.0
3604,488160,493.0,559.0,246.0,109.0,34.93,88.07,26.48,389.0,329.0,327.0,474.0
3605,488260,494.0,558.0,246.0,108.0,34.93,88.07,26.48,388.0,329.0,327.0,476.0
3606,488360,493.0,558.0,246.0,109.0,34.93,88.07,26.48,389.0,329.0,325.0,475.0
3607,488460,493.0,557.0,245.0,109.0,34.93,88.07,26.48,389.0,330.0,326.0,474.0
3608,488560,493.0,556.0,245.0,108.0,34.93,88.07,26.48,390.0,329.0,325.0,475.0
3609,488660,493.0,556.0,246.0,108.0,34.93,88.07,26.48,392.0,332.0,328.0,464.0
3610,488760,493.0,555.0,246.0,108.0,34.93,88.07,26.48,391.0,334.0,332.0,475.0
3611,488860,493.0,555.0,245.0,108.0,34.93,88.07,26.48,389.0,334.0,328.0,474.0
3612,488960,493.0,555.0,245.0,108.0,34.93,88.07,26.48,388.0,336.0,327.0,475.0
3613,489060,492.0,554.0,245.0,108.0,34.93,88.07,26.48,389.0,330.0,328.0,475.0
3614,489160,493.0,553.0,245.0,108.0,34.93,88.07,26.48,389.0,331.0,327.0,474.0
3615,489260,493.0,554.0,245.0,108.0,34.93,88.07,26.48,391.0,331.0,330.0,476.0
3616,489360,493.0,553.0,245.0,108.0,34.93,88.07,26.48,391.0,331.0,329.0,468.0
3617,489460,492.0,552.0,245.0,108.0,34.93,88.07,26.48,388.0,329.0,323.0,474.0
3618,489560,492.0,552.0,245.0,107.0,34.93,88.07,26.48,388.0,329.0,325.0,474.0
3619,489660,492.0,550.0,245.0,107.0,34.93,88.07,26.48,389.0,330.0,327.0,474.0
3620,489760,492.0,550.0,245.0,108.0,34.93,88.07,26.48,387.0,335.0,318.0,478.0
