,timestamp,voc2,no2,eth,co,temp,pressure,humidity,mq3,mq7,mq9,mq135
2400,1887289,576.0,660.0,350.0,100.0,35.65,87.92,29.74,531.0,332.0,375.0,649.0
2401,1887389,576.0,660.0,349.0,101.0,35.65,87.92,29.74,531.0,335.0,368.0,655.0
2402,1887489,576.0,659.0,349.0,102.0,35.65,87.92,29.74,533.0,332.0,378.0,651.0
2403,1887589,576.0,660.0,350.0,101.0,35.65,87.92,29.74,535.0,331.0,374.0,651.0
2404,1887689,575.0,659.0,350.0,101.0,35.65,87.92,29.74,536.0,332.0,376.0,651.0
2405,1887789,576.0,660.0,349.0,101.0,35.65,87.92,29.74,533.0,332.0,378.0,650.0
2406,1887889,576.0,659.0,350.0,102.0,35.65,87.92,29.74,537.0,332.0,376.0,650.0
2407,1887989,575.0,660.0,350.0,101.0,35.65,87.92,29.74,537.0,332.0,376.0,651.0
2408,1888089,576.0,659.0,350.0,100.0,35.65,87.92,29.74,537.0,331.0,379.0,654.0
2409,1888189,575.0,660.0,349.0,101.0,35.65,87.92,29.74,533.0,331.0,377.0,650.0
2410,1888289,575.0,660.0,350.0,101.0,35.65,87.92,29.74,531.0,330.0,376.0,650.0
2411,1888389,576.0,660.0,349.0,101.0,35.65,87.92,29.74,537.0,334.0,378.0,652.0
2412,1888489,576.0,660.0,350.0,101.0,35.65,87.92,29.74,533.0,332.0,376.0,650.0
2413,1888589,576.0,660.0,349.0,101.0,35.65,87.92,29.74,531.0,331.0,377.0,651.0
2414,1888689,576.0,660.0,349.0,101.0,35.65,87.92,29.74,534.0,332.0,376.0,650.0
2415,1888789,575.0,660.0,350.0,101.0,35.65,87.92,29.74,536.0,335.0,379.0,650.0
2416,1888889,576.0,659.0,349.0,101.0,35.65,87.92,29.74,535.0,332.0,376.0,651.0
2417,1888989,576.0,660.0,350.0,101.0,35.65,87.92,29.74,533.0,332.0,376.0,651.0
2418,1889089,575.0,660.0,349.0,101.0,35.65,87.92,29.74,540.0,329.0,379.0,655.0
2419,1889189,575.0,660.0,350.0,101.0,35.65,87.92,29.74,537.0,332.0,377.0,648.0
2420,1889289,575.0,660.0,349.0,100.0,35.65,87.92,29.74,535.0,331.0,375.0,651.0
2421,1889389,576.0,660.0,349.0,101.0,35.65,87.92,29.74,536.0,333.0,378.0,652.0
2422,1889489,575.0,660.0,349.0,101.0,35.65,87.92,29.74,532.0,332.0,378.0,649.0
2423,1889589,575.0,660.0,349.0,101.0,35.65,87.92,29.74,533.0,331.0,376.0,651.0
2424,1889689,576.0,660.0,349.0,100.0,35.65,87.92,29.74,536.0,331.0,377.0,651.0
2425,1889789,576.0,660.0,349.0,101.0,35.65,87.92,29.74,536.0,335.0,379.0,650.0
2426,1889889,576.0,660.0,350.0,101.0,35.65,87.92,29.74,537.0,332.0,376.0,651.0
2427,1889989,575.0,660.0,349.0,101.0,35.65,87.92,29.74,536.0,331.0,376.0,650.0
2428,1890089,575.0,659.0,349.0,101.0,35.65,87.92,29.74,539.0,315.0,372.0,653.0
2429,1890189,575.0,660.0,350.0,101.0,35.65,87.92,29.74,538.0,332.0,376.0,651.0
2430,1890289,575.0,660.0,349.0,101.0,35.65,87.92,29.74,533.0,330.0,375.0,651.0
