,timestamp,voc2,no2,eth,co,temp,pressure,humidity,mq3,mq7,mq9,mq135
600,5839023,426.0,530.0,195.0,107.0,35.66,88.36,29.26,398.0,320.0,279.0,407.0
601,5839123,426.0,530.0,195.0,108.0,35.66,88.36,29.26,396.0,321.0,279.0,407.0
602,5839223,426.0,530.0,194.0,108.0,35.66,88.36,29.26,397.0,322.0,279.0,407.0
603,5839323,426.0,530.0,195.0,108.0,35.66,88.36,29.26,399.0,321.0,278.0,407.0
604,5839423,426.0,530.0,195.0,107.0,35.66,88.36,29.26,398.0,321.0,280.0,405.0
605,5839523,425.0,531.0,194.0,108.0,35.66,88.36,29.26,396.0,318.0,278.0,408.0
606,5839623,426.0,531.0,195.0,108.0,35.66,88.36,29.26,397.0,322.0,279.0,407.0
607,5839723,425.0,530.0,195.0,108.0,35.66,88.36,29.26,399.0,322.0,280.0,408.0
608,5839823,426.0,531.0,195.0,108.0,35.66,88.36,29.26,397.0,322.0,282.0,398.0
609,5839923,426.0,531.0,195.0,107.0,35.66,88.36,29.26,400.0,321.0,282.0,408.0
610,5840023,425.0,531.0,195.0,108.0,35.66,88.36,29.26,399.0,322.0,280.0,406.0
611,5840123,426.0,532.0,195.0,108.0,35.66,88.36,29.26,398.0,320.0,280.0,407.0
612,5840223,425.0,532.0,195.0,108.0,35.66,88.36,29.26,398.0,320.0,279.0,406.0
613,5840323,426.0,531.0,194.0,108.0,35.66,88.36,29.26,396.0,319.0,281.0,406.0
614,5840423,426.0,532.0,195.0,108.0,35.66,88.36,29.26,396.0,320.0,279.0,408.0
615,5840523,426.0,532.0,195.0,108.0,35.66,88.36,29.26,396.0,320.0,278.0,405.0
616,5840623,426.0,532.0,195.0,107.0,35.66,88.36,29.26,397.0,320.0,279.0,407.0
617,5840723,426.0,532.0,195.0,107.0,35.66,88.36,29.26,396.0,320.0,277.0,407.0
618,5840823,426.0,533.0,195.0,108.0,35.66,88.36,29.26,397.0,318.0,278.0,407.0
619,5840923,425.0,532.0,196.0,108.0,35.66,88.36,29.26,397.0,321.0,277.0,406.0
620,5841023,426.0,533.0,195.0,108.0,35.66,88.36,29.26,396.0,321.0,278.0,407.0
621,5841123,426.0,533.0,195.0,107.0,35.66,88.36,29.26,395.0,320.0,275.0,407.0
622,5841223,426.0,532.0,196.0,108.0,35.66,88.36,29.26,396.0,320.0,276.0,408.0
623,5841323,426.0,533.0,195.0,108.0,35.66,88.36,29.26,398.0,323.0,281.0,407.0
624,5841423,426.0,533.0,195.0,107.0,35.66,88.36,29.26,399.0,323.0,281.0,407.0
625,5841523,426.0,533.0,196.0,109.0,35.66,88.36,29.26,398.0,323.0,282.0,408.0
626,5841623,425.0,533.0,195.0,108.0,35.66,88.36,29.26,400.0,321.0,282.0,407.0
627,5841723,426.0,533.0,195.0,108.0,35.66,88.36,29.26,397.0,323.0,284.0,407.0
628,5841823,426.0,533.0,195.0,108.0,35.66,88.36,29.26,398.0,323.0,281.0,408.0
629,5841923,425.0,534.0,195.0,108.0,35.66,88.36,29.26,399.0,322.0,283.0,408.0
630,5842023,425.0,533.0,196.0,108.0,35.66,88.36,29.26,400.0,320.0,285.0,408.0
631,5842123,425.0,533.0,195.0,108.0,35.66,88.36,29.26,397.0,322.0,284.0,409.0
632,5842223,426.0,533.0,196.0,108.0,35.66,88.36,29.26,399.0,324.0,284.0,408.0
633,5842323,426.0,533.0,196.0,108.0,35.66,88.36,29.26,400.0,322.0,285.0,407.0
634,5842423,425.0,532.0,196.0,108.0,35.66,88.36,29.26,399.0,323.0,284.0,410.0
635,5842523,426.0,532.0,196.0,108.0,35.66,88.36,29.26,401.0,322.0,284.0,408.0
636,5842623,426.0,532.0,195.0,108.0,35.66,88.36,29.26,399.0,322.0,283.0,408.0
637,5842723,426.0,532.0,196.0,108.0,35.66,88.36,29.26,397.0,324.0,284.0,407.0
638,5842823,425.0,532.0,196.0,108.0,35.66,88.36,29.26,399.0,321.0,284.0,407.0
639,5842923,425.0,532.0,196.0,108.0,35.66,88.36,29.26,398.0,322.0,284.0,408.0
640,5843023,426.0,532.0,196.0,108.0,35.66,88.36,29.26,397.0,325.0,282.0,407.0
641,5843123,426.0,532.0,196.0,109.0,35.66,88.36,29.26,397.0,322.0,285.0,407.0
642,5843223,426.0,532.0,196.0,108.0,35.66,88.36,29.26,399.0,322.0,284.0,407.0
643,5843323,425.0,532.0,196.0,108.0,35.66,88.36,29.26,397.0,324.0,283.0,407.0
644,5843423,426.0,532.0,196.0,108.0,35.66,88.36,29.26,400.0,322.0,284.0,407.0
645,5843523,426.0,532.0,196.0,108.0,35.66,88.36,29.26,400.0,322.0,283.0,406.0
646,5843623,425.0,532.0,196.0,108.0,35.66,88.36,29.26,399.0,322.0,284.0,404.0
647,5843723,425.0,532.0,196.0,108.0,35.66,88.36,29.26,399.0,322.0,283.0,407.0
648,5843823,425.0,532.0,196.0,108.0,35.66,88.36,29.26,399.0,323.0,283.0,406.0
649,5843923,425.0,533.0,197.0,108.0,35.66,88.36,29.26,398.0,324.0,283.0,408.0
650,5844023,425.0,533.0,197.0,108.0,35.66,88.36,29.26,400.0,323.0,283.0,407.0
651,5844123,426.0,533.0,196.0,108.0,35.66,88.36,29.26,399.0,321.0,282.0,407.0
652,5844223,426.0,533.0,197.0,108.0,35.66,88.36,29.26,400.0,323.0,283.0,407.0
653,5844323,426.0,533.0,196.0,108.0,35.66,88.36,29.26,398.0,321.0,283.0,407.0
654,5844423,425.0,533.0,196.0,108.0,35.66,88.36,29.26,396.0,324.0,283.0,407.0
655,5844523,426.0,534.0,196.0,108.0,35.66,88.36,29.26,397.0,323.0,283.0,407.0
656,5844623,425.0,533.0,196.0,108.0,35.66,88.36,29.26,398.0,322.0,283.0,407.0
657,5844723,426.0,533.0,197.0,108.0,35.66,88.36,29.26,398.0,322.0,286.0,407.0
658,5844823,426.0,534.0,197.0,108.0,35.66,88.36,29.26,399.0,321.0,283.0,408.0
659,5844923,425.0,533.0,197.0,108.0,35.66,88.36,29.26,396.0,322.0,284.0,408.0
660,5845023,425.0,533.0,197.0,108.0,35.66,88.36,29.26,399.0,322.0,283.0,407.0
661,5845123,425.0,534.0,197.0,108.0,35.66,88.36,29.26,396.0,322.0,285.0,407.0
662,5845223,425.0,533.0,197.0,108.0,35.66,88.36,29.26,395.0,323.0,284.0,407.0
663,5845323,425.0,533.0,197.0,108.0,35.66,88.36,29.26,397.0,322.0,285.0,407.0
664,5845423,425.0,533.0,198.0,108.0,35.66,88.36,29.26,399.0,323.0,284.0,406.0
665,5845523,425.0,534.0,197.0,108.0,35.66,88.36,29.26,399.0,322.0,285.0,407.0
666,5845623,425.0,533.0,197.0,108.0,35.66,88.36,29.26,399.0,322.0,285.0,407.0
667,5845723,426.0,533.0,197.0,108.0,35.66,88.36,29.26,399.0,322.0,285.0,404.0
668,5845823,425.0,533.0,197.0,108.0,35.66,88.36,29.26,397.0,321.0,284.0,406.0
669,5845923,425.0,533.0,197.0,108.0,35.66,88.36,29.26,397.0,322.0,285.0,406.0
670,5846023,426.0,533.0,197.0,108.0,35.66,88.36,29.26,398.0,319.0,284.0,407.0
671,5846123,425.0,533.0,197.0,108.0,35.66,88.36,29.26,397.0,322.0,285.0,407.0
672,5846223,425.0,533.0,197.0,108.0,35.66,88.36,29.26,399.0,323.0,287.0,407.0
673,5846323,426.0,533.0,197.0,108.0,35.66,88.36,29.26,400.0,324.0,287.0,408.0
674,5846423,425.0,532.0,197.0,108.0,35.66,88.36,29.26,397.0,323.0,278.0,409.0
675,5846523,425.0,533.0,198.0,108.0,35.66,88.36,29.26,400.0,323.0,287.0,408.0
676,5846623,425.0,532.0,197.0,107.0,35.66,88.36,29.26,400.0,321.0,287.0,408.0
677,5846723,425.0,533.0,197.0,108.0,35.66,88.36,29.26,400.0,322.0,285.0,407.0
678,5846823,425.0,532.0,197.0,108.0,35.66,88.36,29.26,397.0,322.0,285.0,407.0
679,5846923,425.0,532.0,197.0,108.0,35.66,88.36,29.26,399.0,322.0,286.0,408.0
680,5847023,425.0,532.0,197.0,108.0,35.66,88.36,29.26,399.0,322.0,286.0,407.0
681,5847123,425.0,532.0,197.0,108.0,35.66,88.36,29.26,397.0,321.0,286.0,407.0
682,5847223,425.0,532.0,197.0,108.0,35.66,88.36,29.26,399.0,321.0,285.0,407.0
683,5847323,426.0,532.0,197.0,108.0,35.66,88.36,29.26,399.0,322.0,285.0,407.0
684,5847423,425.0,532.0,197.0,108.0,35.66,88.36,29.26,399.0,321.0,286.0,407.0
685,5847523,424.0,531.0,198.0,108.0,35.66,88.36,29.26,399.0,322.0,285.0,407.0
686,5847623,425.0,532.0,197.0,107.0,35.66,88.36,29.26,400.0,322.0,285.0,407.0
687,5847723,424.0,531.0,197.0,108.0,35.66,88.36,29.26,398.0,322.0,286.0,408.0
688,5847823,424.0,531.0,198.0,108.0,35.66,88.36,29.26,398.0,319.0,286.0,407.0
689,5847923,425.0,532.0,197.0,108.0,35.66,88.36,29.26,399.0,321.0,286.0,406.0
690,5848023,425.0,532.0,197.0,108.0,35.66,88.36,29.26,398.0,322.0,285.0,406.0
691,5848123,425.0,532.0,197.0,107.0,35.66,88.36,29.26,399.0,321.0,287.0,406.0
692,5848223,425.0,531.0,197.0,108.0,35.66,88.36,29.26,399.0,321.0,287.0,406.0
693,5848323,425.0,532.0,197.0,109.0,35.66,88.36,29.26,398.0,321.0,286.0,407.0
694,5848423,426.0,532.0,197.0,108.0,35.66,88.36,29.26,397.0,322.0,286.0,406.0
695,5848523,425.0,532.0,198.0,108.0,35.66,88.36,29.26,399.0,321.0,287.0,407.0
696,5848623,425.0,531.0,198.0,108.0,35.66,88.36,29.26,398.0,321.0,287.0,407.0
697,5848723,425.0,531.0,197.0,108.0,35.66,88.36,29.26,398.0,323.0,287.0,406.0
698,5848823,425.0,531.0,197.0,107.0,35.66,88.36,29.26,400.0,323.0,288.0,407.0
699,5848923,424.0,531.0,197.0,108.0,35.66,88.36,29.26,401.0,324.0,289.0,407.0
700,5849023,425.0,531.0,198.0,108.0,35.66,88.36,29.26,399.0,319.0,283.0,410.0
701,5849123,424.0,530.0,198.0,108.0,35.66,88.36,29.26,396.0,322.0,287.0,408.0
702,5849223,424.0,531.0,198.0,108.0,35.66,88.36,29.26,400.0,322.0,287.0,407.0
703,5849323,424.0,530.0,198.0,108.0,35.66,88.36,29.26,398.0,321.0,290.0,409.0
704,5849423,425.0,531.0,198.0,107.0,35.66,88.36,29.26,396.0,321.0,285.0,407.0
705,5849523,424.0,530.0,197.0,107.0,35.66,88.36,29.26,397.0,322.0,286.0,406.0
706,5849623,425.0,530.0,197.0,107.0,35.66,88.36,29.26,399.0,320.0,286.0,407.0
707,5849723,424.0,530.0,198.0,108.0,35.66,88.36,29.26,399.0,320.0,286.0,406.0
708,5849823,424.0,531.0,198.0,107.0,35.66,88.36,29.26,395.0,321.0,286.0,406.0
709,5849923,424.0,530.0,198.0,108.0,35.66,88.36,29.26,399.0,322.0,286.0,406.0
710,5850023,425.0,531.0,197.0,107.0,35.66,88.36,29.26,399.0,321.0,285.0,407.0
711,5850123,424.0,530.0,197.0,108.0,35.66,88.36,29.26,398.0,320.0,286.0,407.0
712,5850223,425.0,530.0,197.0,107.0,35.66,88.36,29.26,399.0,321.0,285.0,408.0
713,5850323,425.0,530.0,198.0,108.0,35.66,88.36,29.26,399.0,319.0,286.0,407.0
714,5850423,425.0,531.0,198.0,108.0,35.66,88.36,29.26,399.0,322.0,286.0,406.0
715,5850523,425.0,530.0,198.0,107.0,35.66,88.36,29.26,397.0,323.0,288.0,406.0
716,5850623,424.0,529.0,197.0,108.0,35.66,88.36,29.26,401.0,323.0,289.0,410.0
717,5850723,425.0,530.0,197.0,108.0,35.66,88.36,29.26,400.0,321.0,289.0,408.0
718,5850823,425.0,530.0,198.0,108.0,35.66,88.36,29.26,398.0,322.0,287.0,408.0
719,5850923,425.0,530.0,198.0,107.0,35.66,88.36,29.26,397.0,322.0,286.0,407.0
