,timestamp,voc2,no2,eth,co,temp,pressure,humidity,mq3,mq7,mq9,mq135
1800,7324045,399.0,483.0,167.0,108.0,35.32,88.35,29.64,442.0,348.0,327.0,398.0
1801,7324145,399.0,483.0,167.0,108.0,35.32,88.35,29.64,444.0,348.0,328.0,399.0
1802,7324245,398.0,483.0,167.0,108.0,35.32,88.35,29.64,443.0,347.0,327.0,398.0
1803,7324345,399.0,483.0,167.0,108.0,35.32,88.35,29.64,444.0,349.0,321.0,401.0
1804,7324445,398.0,483.0,167.0,108.0,35.32,88.35,29.64,441.0,347.0,327.0,397.0
1805,7324545,398.0,483.0,167.0,107.0,35.32,88.35,29.64,446.0,351.0,330.0,400.0
1806,7324645,398.0,482.0,167.0,108.0,35.32,88.35,29.64,444.0,347.0,328.0,398.0
1807,7324745,399.0,483.0,166.0,108.0,35.32,88.35,29.64,442.0,349.0,328.0,398.0
1808,7324845,399.0,482.0,167.0,108.0,35.32,88.35,29.64,444.0,346.0,327.0,397.0
1809,7324945,398.0,483.0,167.0,108.0,35.32,88.35,29.64,444.0,348.0,328.0,398.0
1810,7325045,398.0,482.0,166.0,108.0,35.32,88.35,29.64,446.0,349.0,328.0,399.0
1811,7325145,398.0,482.0,167.0,108.0,35.32,88.35,29.64,443.0,347.0,327.0,398.0
1812,7325245,398.0,482.0,167.0,108.0,35.32,88.35,29.64,445.0,348.0,328.0,400.0
1813,7325345,398.0,482.0,166.0,108.0,35.32,88.35,29.64,443.0,348.0,325.0,397.0
1814,7325445,398.0,482.0,166.0,107.0,35.32,88.35,29.64,445.0,350.0,331.0,400.0
1815,7325545,398.0,481.0,166.0,108.0,35.32,88.35,29.64,447.0,347.0,327.0,398.0
1816,7325645,398.0,482.0,167.0,108.0,35.32,88.35,29.64,444.0,348.0,329.0,399.0
1817,7325745,398.0,482.0,167.0,108.0,35.32,88.35,29.64,442.0,349.0,328.0,398.0
1818,7325845,398.0,482.0,167.0,108.0,35.32,88.35,29.64,447.0,348.0,327.0,396.0
1819,7325945,398.0,481.0,167.0,108.0,35.32,88.35,29.64,446.0,347.0,327.0,398.0
1820,7326045,398.0,481.0,166.0,108.0,35.32,88.35,29.64,444.0,348.0,326.0,397.0
1821,7326145,398.0,481.0,166.0,108.0,35.32,88.35,29.64,444.0,349.0,330.0,399.0
1822,7326245,397.0,481.0,166.0,107.0,35.32,88.35,29.64,441.0,348.0,327.0,398.0
1823,7326345,398.0,482.0,166.0,107.0,35.32,88.35,29.64,440.0,349.0,319.0,399.0
1824,7326445,398.0,481.0,166.0,107.0,35.32,88.35,29.64,443.0,346.0,327.0,398.0
1825,7326545,397.0,482.0,166.0,108.0,35.32,88.35,29.64,445.0,350.0,329.0,399.0
1826,7326645,397.0,481.0,166.0,108.0,35.32,88.35,29.64,443.0,348.0,327.0,398.0
1827,7326745,398.0,481.0,166.0,107.0,35.32,88.35,29.64,443.0,349.0,328.0,398.0
1828,7326845,398.0,481.0,166.0,108.0,35.32,88.35,29.64,443.0,347.0,324.0,397.0
1829,7326945,398.0,481.0,166.0,108.0,35.32,88.35,29.64,443.0,346.0,328.0,398.0
1830,7327045,398.0,480.0,167.0,108.0,35.32,88.35,29.64,443.0,347.0,327.0,398.0
1831,7327145,398.0,481.0,166.0,108.0,35.32,88.35,29.64,442.0,348.0,328.0,396.0
1832,7327245,398.0,481.0,166.0,107.0,35.32,88.35,29.64,443.0,347.0,328.0,398.0
1833,7327345,398.0,481.0,166.0,108.0,35.32,88.35,29.64,446.0,348.0,326.0,397.0
1834,7327445,397.0,481.0,166.0,108.0,35.32,88.35,29.64,443.0,347.0,329.0,400.0
1835,7327545,397.0,480.0,166.0,108.0,35.32,88.35,29.64,442.0,347.0,325.0,398.0
1836,7327645,397.0,480.0,166.0,107.0,35.32,88.35,29.64,448.0,351.0,330.0,400.0
1837,7327745,397.0,480.0,166.0,107.0,35.32,88.35,29.64,447.0,347.0,327.0,397.0
1838,7327845,398.0,481.0,166.0,108.0,35.32,88.35,29.64,446.0,348.0,328.0,398.0
