,timestamp,voc2,no2,eth,co,temp,pressure,humidity,mq3,mq7,mq9,mq135
600,4338243,479.0,592.0,269.0,131.0,35.24,88.29,27.13,471.0,344.0,315.0,541.0
601,4338343,479.0,591.0,268.0,131.0,35.24,88.29,27.13,471.0,343.0,314.0,542.0
602,4338443,479.0,592.0,269.0,131.0,35.24,88.29,27.13,471.0,343.0,311.0,541.0
603,4338543,479.0,591.0,269.0,131.0,35.24,88.29,27.13,471.0,345.0,314.0,540.0
604,4338643,479.0,591.0,268.0,131.0,35.24,88.29,27.13,472.0,344.0,317.0,541.0
605,4338743,479.0,590.0,268.0,130.0,35.24,88.29,27.13,472.0,342.0,313.0,541.0
606,4338843,479.0,590.0,268.0,131.0,35.24,88.29,27.13,470.0,343.0,313.0,541.0
607,4338943,479.0,591.0,268.0,130.0,35.24,88.29,27.13,470.0,343.0,313.0,540.0
608,4339043,479.0,590.0,269.0,130.0,35.24,88.29,27.13,470.0,345.0,316.0,540.0
609,4339143,479.0,590.0,267.0,130.0,35.24,88.29,27.13,471.0,343.0,313.0,542.0
610,4339243,478.0,589.0,268.0,130.0,35.24,88.29,27.13,470.0,341.0,313.0,541.0
611,4339343,478.0,590.0,268.0,130.0,35.24,88.29,27.13,470.0,344.0,313.0,541.0
612,4339443,478.0,589.0,268.0,130.0,35.24,88.29,27.13,471.0,343.0,313.0,540.0
613,4339543,478.0,590.0,268.0,130.0,35.24,88.29,27.13,472.0,339.0,314.0,544.0
614,4339643,478.0,589.0,268.0,130.0,35.24,88.29,27.13,471.0,343.0,313.0,541.0
615,4339743,478.0,589.0,268.0,131.0,35.24,88.29,27.13,471.0,342.0,314.0,541.0
616,4339843,478.0,589.0,267.0,130.0,35.24,88.29,27.13,471.0,343.0,314.0,539.0
617,4339943,479.0,588.0,268.0,130.0,35.24,88.29,27.13,473.0,343.0,313.0,541.0
618,4340043,479.0,588.0,268.0,131.0,35.24,88.29,27.13,473.0,344.0,316.0,542.0
619,4340143,479.0,588.0,268.0,130.0,35.24,88.29,27.13,471.0,343.0,312.0,541.0
620,4340243,478.0,588.0,267.0,132.0,35.24,88.29,27.13,469.0,343.0,315.0,540.0
621,4340343,478.0,588.0,267.0,133.0,35.24,88.29,27.13,470.0,342.0,313.0,537.0
622,4340443,478.0,588.0,268.0,134.0,35.24,88.29,27.13,468.0,344.0,313.0,540.0
623,4340543,478.0,587.0,267.0,134.0,35.24,88.29,27.13,475.0,336.0,313.0,544.0
624,4340643,478.0,588.0,268.0,135.0,35.24,88.29,27.13,471.0,343.0,313.0,542.0
625,4340743,478.0,587.0,268.0,136.0,35.24,88.29,27.13,468.0,342.0,313.0,541.0
626,4340843,479.0,587.0,267.0,136.0,35.24,88.29,27.13,470.0,341.0,313.0,541.0
627,4340943,478.0,588.0,267.0,135.0,35.24,88.29,27.13,470.0,343.0,314.0,541.0
628,4341043,479.0,588.0,267.0,135.0,35.24,88.29,27.13,475.0,344.0,315.0,542.0
629,4341143,478.0,587.0,268.0,136.0,35.24,88.29,27.13,470.0,343.0,313.0,541.0
630,4341243,478.0,587.0,267.0,136.0,35.24,88.29,27.13,470.0,343.0,313.0,541.0
631,4341343,479.0,587.0,268.0,135.0,35.24,88.29,27.13,470.0,342.0,312.0,540.0
632,4341443,478.0,586.0,267.0,135.0,35.24,88.29,27.13,469.0,343.0,313.0,540.0
633,4341543,478.0,586.0,267.0,136.0,35.24,88.29,27.13,470.0,346.0,315.0,540.0
634,4341643,478.0,586.0,267.0,136.0,35.24,88.29,27.13,470.0,342.0,315.0,542.0
635,4341743,477.0,587.0,267.0,135.0,35.24,88.29,27.13,471.0,343.0,313.0,541.0
636,4341843,479.0,585.0,267.0,136.0,35.24,88.29,27.13,470.0,342.0,313.0,540.0
637,4341943,478.0,586.0,267.0,136.0,35.24,88.29,27.13,469.0,343.0,313.0,540.0
638,4342043,479.0,585.0,267.0,137.0,35.24,88.29,27.13,468.0,344.0,314.0,536.0
639,4342143,478.0,585.0,267.0,136.0,35.24,88.29,27.13,458.0,344.0,316.0,538.0
640,4342243,478.0,586.0,267.0,136.0,35.24,88.29,27.13,470.0,343.0,312.0,541.0
641,4342343,478.0,585.0,268.0,136.0,35.24,88.29,27.13,469.0,342.0,313.0,541.0
642,4342443,478.0,585.0,267.0,137.0,35.24,88.29,27.13,469.0,342.0,313.0,541.0
643,4342543,477.0,586.0,267.0,137.0,35.24,88.29,27.13,470.0,342.0,313.0,540.0
644,4342643,478.0,585.0,267.0,138.0,35.24,88.29,27.13,469.0,342.0,314.0,537.0
645,4342743,478.0,585.0,267.0,138.0,35.24,88.29,27.13,469.0,345.0,317.0,540.0
646,4342843,478.0,586.0,266.0,138.0,35.24,88.29,27.13,470.0,344.0,315.0,541.0
647,4342943,478.0,586.0,267.0,138.0,35.24,88.29,27.13,470.0,342.0,314.0,541.0
648,4343043,478.0,585.0,267.0,138.0,35.24,88.29,27.13,468.0,343.0,313.0,540.0
649,4343143,477.0,585.0,267.0,137.0,35.24,88.29,27.13,470.0,343.0,313.0,540.0
650,4343243,477.0,585.0,267.0,137.0,35.24,88.29,27.13,469.0,343.0,314.0,540.0
651,4343343,478.0,585.0,266.0,137.0,35.24,88.29,27.13,469.0,346.0,317.0,540.0
652,4343443,478.0,585.0,267.0,137.0,35.24,88.29,27.13,470.0,341.0,313.0,541.0
653,4343543,477.0,585.0,267.0,136.0,35.24,88.29,27.13,469.0,342.0,313.0,540.0
654,4343643,478.0,585.0,267.0,136.0,35.24,88.29,27.13,469.0,342.0,313.0,540.0
655,4343743,477.0,584.0,267.0,135.0,35.24,88.29,27.13,469.0,343.0,313.0,540.0
656,4343843,477.0,584.0,267.0,135.0,35.24,88.29,27.13,468.0,343.0,314.0,539.0
657,4343943,477.0,585.0,267.0,134.0,35.24,88.29,27.13,470.0,344.0,315.0,540.0
658,4344043,477.0,585.0,267.0,133.0,35.24,88.29,27.13,469.0,342.0,312.0,541.0
659,4344143,477.0,584.0,267.0,132.0,35.24,88.29,27.13,468.0,343.0,313.0,540.0
660,4344243,477.0,584.0,266.0,132.0,35.24,88.29,27.13,469.0,343.0,313.0,541.0
661,4344343,477.0,584.0,267.0,131.0,35.24,88.29,27.13,468.0,342.0,314.0,541.0
662,4344443,476.0,584.0,266.0,130.0,35.24,88.29,27.13,468.0,344.0,315.0,538.0
663,4344543,477.0,585.0,266.0,130.0,35.24,88.29,27.13,469.0,344.0,314.0,541.0
664,4344643,476.0,584.0,267.0,129.0,35.24,88.29,27.13,469.0,341.0,313.0,540.0
665,4344743,477.0,584.0,266.0,128.0,35.24,88.29,27.13,468.0,342.0,314.0,541.0
666,4344843,476.0,585.0,266.0,127.0,35.24,88.29,27.13,469.0,342.0,314.0,539.0
667,4344943,477.0,585.0,266.0,127.0,35.24,88.29,27.13,468.0,344.0,314.0,538.0
668,4345043,477.0,586.0,266.0,125.0,35.24,88.29,27.13,470.0,343.0,313.0,540.0
669,4345143,476.0,585.0,266.0,125.0,35.24,88.29,27.13,471.0,342.0,313.0,539.0
670,4345243,477.0,586.0,266.0,125.0,35.24,88.29,27.13,468.0,343.0,313.0,540.0
671,4345343,476.0,586.0,266.0,124.0,35.24,88.29,27.13,468.0,343.0,313.0,539.0
